#"+ Scan (rt: 4.980-38.001 min, 5725 scans) BROWNWAX_7.D "
#Point,X(Thompsons),Y(Counts)
0,45.1,3618.73193359375
1,45.3,0.823930144309998
2,45.7,1.6253274679184
3,45.9,42.5119667053223
4,46.1,287.516143798828
5,46.2,97.9645385742188
6,46.4,2.65467238426208
7,46.5,2.2197380065918
8,46.8,9.07580757141113
9,47.0,382.335205078125
10,47.1,449.408020019531
11,47.3,4.63982534408569
12,47.6,1.93414843082428
13,47.8,14.9117908477783
14,48.0,49.7706565856934
15,48.1,30.58323097229
16,48.2,27.1470737457275
17,48.4,3.91371178627014
18,48.7,5.16960716247559
19,48.9,51.5200004577637
20,49.1,168.631439208984
21,49.2,56.0497817993164
22,49.4,1.95877730846405
23,49.9,12.6029691696167
24,50.1,1881.28039550781
25,50.2,163.429870605469
26,50.8,0.126812234520912
27,51.0,237.293975830078
28,51.1,4833.67724609375
29,51.3,1.09432315826416
30,51.6,0.0974672511219978
31,51.8,0.773973822593689
32,52.0,264.405944824219
33,52.1,1791.56433105469
34,52.3,6.28349351882935
35,53.0,149.108825683594
36,53.1,7432.16064453125
37,53.3,0.988646268844604
38,53.6,0.0422707423567772
39,53.8,0.195458516478539
40,54.0,123.896591186523
41,54.1,5248.45556640625
42,54.3,11.3275108337402
43,55.0,5.84908294677734
44,55.1,49164.5859375
45,56.0,25.7068996429443
46,56.2,23172.26953125
47,56.3,3.35825324058533
48,57.0,17.8211345672607
49,57.2,124194.25
50,57.3,71.8892593383789
51,57.5,10.9806118011475
52,57.7,19.6953716278076
53,57.9,112.511268615723
54,58.1,2510.76391601563
55,58.2,3815.70825195313
56,58.4,1.54200875759125
57,58.6,1.6737117767334
58,58.8,7.84524011611938
59,59.0,287.156677246094
60,59.1,3157.39672851563
61,59.3,12.8307418823242
62,59.5,1.97606992721558
63,59.8,9.03493404388428
64,60.0,246.987426757813
65,60.1,659.270568847656
66,60.3,14.0875110626221
67,60.5,0.557205259799957
68,60.8,6.91598272323608
69,61.0,409.710571289063
70,61.1,895.397216796875
71,61.3,8.86847114562988
72,61.5,0.424803495407104
73,61.7,0.290655016899109
74,61.9,47.239128112793
75,62.1,943.910766601563
76,62.2,115.898864746094
77,62.4,0.650829672813416
78,62.5,0.452925771474838
79,62.7,0.185676857829094
80,62.9,20.6518783569336
81,63.1,3521.98193359375
82,63.2,163.817993164063
83,63.4,0.436506539583206
84,63.6,0.525589525699615
85,63.8,12.3201742172241
86,64.0,371.8330078125
87,64.1,1223.33203125
88,64.3,36.7205238342285
89,64.5,1.38829696178436
90,64.7,0.0988646298646927
91,64.9,8.52384281158447
92,65.1,5350.20947265625
93,65.2,314.655364990234
94,65.4,0.430393010377884
95,65.6,0.801572024822235
96,65.8,7.21938848495483
97,66.0,309.868988037109
98,66.1,1684.44958496094
99,66.3,17.4866371154785
100,67.0,69.3696060180664
101,67.1,13309.7841796875
102,67.3,0.287161558866501
103,67.7,0.0887336209416389
104,68.0,109.420433044434
105,68.1,7428.71875
106,68.3,7.69694328308105
107,68.5,0.136069864034653
108,68.9,0.222882091999054
109,69.1,29366.509765625
110,69.2,2848.33837890625
111,69.4,1.79807865619659
112,69.7,5.33205223083496
113,69.9,46.3987770080566
114,70.1,7059.943359375
115,70.2,11705.73046875
116,70.4,8.56192111968994
117,70.7,9.99528408050537
118,70.9,26.6745853424072
119,71.1,13087.193359375
120,71.2,70453.8046875
121,71.4,0.285589516162872
122,71.7,1.04454147815704
123,71.9,45.7701301574707
124,72.0,118.819038391113
125,72.2,4713.353515625
126,72.3,48.8779029846191
127,72.5,0.311266362667084
128,73.0,208.203140258789
129,73.1,24226.123046875
130,73.3,0.668646275997162
131,73.9,14.7451524734497
132,74.1,3406.46508789063
133,74.2,202.414840698242
134,74.7,0.253449767827988
135,74.9,13.4815721511841
136,75.1,4378.18359375
137,75.2,179.373794555664
138,75.4,0.300262004137039
139,75.5,0.268296957015991
140,75.8,3.66550207138062
141,76.0,450.172058105469
142,76.1,3099.94750976563
143,76.3,19.2574672698975
144,76.5,0.117903932929039
145,77.0,365.000335693359
146,77.1,12517.80859375
147,77.3,0.386200875043869
148,77.8,0.705152809619904
149,78.0,445.138854980469
150,78.1,4577.76123046875
151,78.3,1.06218338012695
152,79.0,296.918609619141
153,79.1,13414.2802734375
154,79.8,1.08227074146271
155,80.0,252.666549682617
156,80.1,2390.001953125
157,80.3,19.8534488677979
158,81.0,117.170303344727
159,81.1,12517.2685546875
160,81.3,8.47965049743652
161,82.0,127.142532348633
162,82.1,12226.8857421875
163,82.3,192.012573242188
164,82.4,33.1021842956543
165,82.6,2.46253275871277
166,82.8,36.4875106811523
167,83.0,537.277038574219
168,83.1,27113.560546875
169,83.3,2.7561571598053
170,83.7,0.487685590982437
171,83.9,34.9007873535156
172,84.1,3182.7001953125
173,84.2,8446.849609375
174,84.4,2.17519640922546
175,84.6,15.8667249679565
176,84.8,14.3921394348145
177,85.0,142.168563842773
178,85.2,58612.328125
179,85.3,15.1147594451904
180,85.6,2.50672483444214
181,85.8,10.6922273635864
182,86.0,339.558959960938
183,86.2,4382.7275390625
184,86.3,18.0623588562012
185,86.5,0.961746752262115
186,86.8,4.51912641525269
187,87.0,650.990539550781
188,87.1,1886.96716308594
189,87.3,5.04314422607422
190,87.5,1.66026198863983
191,87.7,5.88681221008301
192,87.9,141.429168701172
193,88.1,1523.96276855469
194,88.2,289.227935791016
195,88.4,2.17484712600708
196,88.6,0.0805240198969841
197,88.8,1.66427946090698
198,89.0,1057.74719238281
199,89.1,4859.115234375
200,89.3,1.75266373157501
201,89.5,0.270043671131134
202,89.7,9.94567680358887
203,89.9,320.739227294922
204,90.1,758.229675292969
205,90.2,267.834075927734
206,90.4,2.74148464202881
207,91.0,187.877029418945
208,91.1,19849.49609375
209,91.8,1.20558953285217
210,92.0,362.833190917969
211,92.1,3692.20751953125
212,92.3,5.46742343902588
213,92.8,0.131877735257149
214,93.0,145.399124145508
215,93.1,8398.109375
216,93.3,9.85589504241943
217,93.6,0.122445411980152
218,93.8,2.67528390884399
219,94.0,194.505676269531
220,94.2,2091.49926757813
221,94.3,451.420623779297
222,94.5,19.8372058868408
223,94.7,65.9563293457031
224,95.0,370.829681396484
225,95.1,9246.5849609375
226,95.3,13.8352842330933
227,96.0,552.293640136719
228,96.1,16036.8544921875
229,96.3,8.2125768661499
230,96.8,5.45187759399414
231,97.0,303.160186767578
232,97.2,24759.853515625
233,97.3,10.814323425293
234,97.6,0.320873349905014
235,97.8,4.80279493331909
236,98.0,303.047698974609
237,98.2,7926.30712890625
238,98.3,21.2251529693604
239,98.4,1.55021834373474
240,98.6,0.775545835494995
241,98.8,9.37484741210938
242,99.0,188.901840209961
243,99.2,17344.705078125
244,99.3,20.1517906188965
245,99.6,1.64366817474365
246,99.8,13.3678598403931
247,99.9,34.0759811401367
248,100.1,677.811706542969
249,100.2,1342.9208984375
250,100.4,6.33222723007202
251,100.6,3.79493451118469
252,100.8,14.2735366821289
253,101.0,393.189514160156
254,101.1,1628.16809082031
255,101.2,398.898529052734
256,101.4,5.73467254638672
257,101.7,3.66043663024902
258,101.9,123.723670959473
259,102.1,2379.0888671875
260,102.2,267.568908691406
261,102.4,0.805589497089386
262,102.8,0.136244535446167
263,103.0,1909.97961425781
264,103.1,3960.80737304688
265,103.3,2.45082974433899
266,103.7,0.684541463851929
267,103.9,119.368385314941
268,104.1,2320.7666015625
269,104.2,358.518432617188
270,104.4,0.417816579341888
271,105.0,342.843139648438
272,105.1,12897.12890625
273,105.8,2.8172926902771
274,106.0,289.526458740234
275,106.1,3216.84204101563
276,106.3,42.8946723937988
277,106.5,0.71807861328125
278,106.8,0.630218327045441
279,107.0,221.771530151367
280,107.1,7195.9267578125
281,107.3,16.3704795837402
282,107.6,4.55353689193726
283,107.8,14.0648031234741
284,108.0,331.895385742188
285,108.1,3243.37109375
286,108.3,19.3710041046143
287,108.5,0.925065517425537
288,108.8,0.27109169960022
289,109.0,99.9991302490234
290,109.1,7612.52587890625
291,109.3,35.3264617919922
292,109.6,0.490655034780502
293,109.9,15.7117900848389
294,110.1,2213.49487304688
295,110.2,1811.01245117188
296,110.5,10.7084712982178
297,110.6,27.6660270690918
298,110.9,13.7641925811768
299,111.1,3219.36499023438
300,111.2,8657.12109375
301,111.4,4.31755447387695
302,111.6,7.72943210601807
303,111.7,2.35004377365112
304,111.9,39.4883842468262
305,112.1,1194.30187988281
306,112.2,4676.1923828125
307,112.4,5.81362438201904
308,112.7,1.69152843952179
309,112.9,33.213451385498
310,113.1,1659.24658203125
311,113.2,9291.91796875
312,113.4,0.803668141365051
313,113.6,1.17973804473877
314,113.7,1.65851533412933
315,113.9,57.2476844787598
316,114.1,672.602416992188
317,114.2,980.029724121094
318,114.4,1.87283837795258
319,114.6,0.140262007713318
320,114.8,0.803493440151215
321,115.0,863.210510253906
322,115.1,14422.2685546875
323,115.3,1.33816599845886
324,115.5,0.0620087347924709
325,115.7,0.207161575555801
326,115.9,40.3311805725098
327,116.0,436.621124267578
328,116.1,3564.21313476563
329,116.3,9.91231441497803
330,116.4,0.345152825117111
331,116.6,0.24628821015358
332,116.9,13.0412225723267
333,117.0,477.311096191406
334,117.1,9320.6689453125
335,117.3,0.715283870697021
336,117.4,0.276681214570999
337,117.7,0.765414834022522
338,117.9,54.3297805786133
339,118.1,2588.94018554688
340,118.2,539.619567871094
341,118.4,0.618340611457825
342,118.6,0.103580787777901
343,118.8,0.64541482925415
344,119.0,847.699584960938
345,119.1,9318.8583984375
346,119.3,1.20192134380341
347,119.5,0.161746725440025
348,119.7,0.546550214290619
349,119.9,57.334846496582
350,120.1,2794.90502929688
351,120.2,833.010681152344
352,120.4,0.856943249702454
353,120.7,0.15074235200882
354,121.0,248.464981079102
355,121.1,7909.72021484375
356,121.3,2.18218350410461
357,121.4,0.247860267758369
358,121.7,0.158078595995903
359,121.9,18.759126663208
360,122.1,2074.87817382813
361,122.2,1005.72454833984
362,122.4,1.8885589838028
363,122.6,0.630567669868469
364,122.9,12.1942358016968
365,123.1,2270.86547851563
366,123.2,1854.34167480469
367,123.3,29.5009613037109
368,123.6,0.305676847696304
369,123.8,3.04227066040039
370,124.0,147.366638183594
371,124.2,1982.3583984375
372,124.3,61.1516151428223
373,124.5,1.85554587841034
374,124.8,4.21205234527588
375,125.0,156.521926879883
376,125.1,1331.18933105469
377,125.2,3977.81201171875
378,125.4,4.16681241989136
379,125.6,2.26689958572388
380,125.8,8.43807888031006
381,125.9,27.4239292144775
382,126.1,1806.83093261719
383,126.2,3539.05249023438
384,126.4,2.97816586494446
385,126.5,1.72628819942474
386,126.8,2.68558955192566
387,126.9,10.7690830230713
388,127.1,4991.13720703125
389,127.2,6326.13525390625
390,127.4,2.07720518112183
391,127.6,0.308296948671341
392,127.8,2.55196499824524
393,127.9,12.685938835144
394,128.1,13495.9423828125
395,128.2,758.476684570313
396,128.4,0.686986923217773
397,128.6,0.127860262989998
398,128.8,1.74620091915131
399,128.9,13.1643667221069
400,129.1,12010.6240234375
401,129.2,281.344818115234
402,129.4,0.30305677652359
403,129.6,0.175021827220917
404,129.8,6.27248907089233
405,129.9,23.0829696655273
406,130.1,2702.5126953125
407,130.2,462.175384521484
408,130.4,1.42620086669922
409,130.7,0.933275103569031
410,130.9,12.3053274154663
411,131.1,8326.3876953125
412,131.2,615.563842773438
413,131.4,0.522270739078522
414,131.5,0.398253262042999
415,131.8,6.23091697692871
416,132.0,333.172241210938
417,132.1,2866.16748046875
418,132.3,15.9552841186523
419,132.7,0.350393027067184
420,132.9,9.87371158599854
421,133.1,14245.8056640625
422,133.2,488.821655273438
423,133.4,0.161397382616997
424,133.6,0.179388642311096
425,133.8,1.75510919094086
426,134.0,649.2431640625
427,134.1,3029.14624023438
428,134.2,1001.61083984375
429,134.4,0.408034920692444
430,134.8,0.444366812705994
431,135.0,358.931884765625
432,135.1,7476.14111328125
433,135.3,4.44262027740479
434,135.5,0.262008726596832
435,135.8,1.20803499221802
436,136.0,266.564880371094
437,136.1,2194.974609375
438,136.3,24.9365940093994
439,136.5,0.0490829683840275
440,136.7,0.483318775892258
441,136.9,21.0403499603271
442,137.1,2491.45947265625
443,137.2,569.33642578125
444,137.4,1.29100441932678
445,137.7,1.00244545936584
446,137.9,30.014497756958
447,138.0,166.616424560547
448,138.2,1412.30712890625
449,138.3,59.3664627075195
450,138.4,4.98532772064209
451,138.7,0.78043669462204
452,138.9,17.3474235534668
453,139.1,4039.1201171875
454,139.2,1370.40209960938
455,139.3,8.80663776397705
456,139.5,0.206812232732773
457,139.7,1.69484710693359
458,139.9,18.7627944946289
459,140.1,749.533630371094
460,140.2,2853.87719726563
461,140.3,89.5317001342773
462,140.5,0.922620058059692
463,140.7,1.33397376537323
464,140.9,7.56471633911133
465,141.1,13031.2158203125
466,141.2,4786.404296875
467,141.4,2.27965068817139
468,141.6,0.319999992847443
469,141.8,3.58235812187195
470,142.0,179.815200805664
471,142.1,6404.70654296875
472,142.3,14.1154584884644
473,142.5,1.5800873041153
474,142.8,1.94707429409027
475,142.9,11.7374668121338
476,143.1,8586.068359375
477,143.2,612.101989746094
478,143.4,1.78235805034637
479,143.7,2.85048031806946
480,143.8,6.1823582649231
481,144.0,167.416244506836
482,144.1,3100.02490234375
483,144.3,27.3229694366455
484,144.4,7.28419208526611
485,144.6,0.15475982427597
486,144.8,2.64489078521729
487,145.0,199.358779907227
488,145.1,5804.044921875
489,145.2,1113.80834960938
490,145.4,0.832663774490356
491,145.6,0.758951961994171
492,145.7,0.989519655704498
493,145.9,35.5067253112793
494,146.0,181.604721069336
495,146.1,3089.43798828125
496,146.3,12.0027952194214
497,146.4,0.856593906879425
498,146.7,0.353013098239899
499,146.9,12.9507427215576
500,147.1,12511.3515625
501,147.2,780.562622070313
502,147.6,0.191615715622902
503,147.8,2.32419204711914
504,148.0,438.36279296875
505,148.1,3699.77001953125
506,148.3,14.6080350875854
507,148.6,0.615196526050568
508,148.8,2.84873366355896
509,149.0,566.612731933594
510,149.1,3793.087890625
511,149.3,15.4978170394897
512,149.5,0.300786018371582
513,149.7,0.394061148166656
514,149.9,37.2289962768555
515,150.0,306.7373046875
516,150.1,1952.63610839844
517,150.3,24.5021839141846
518,150.5,0.483144104480743
