#"+ Scan (rt: 4.977-40.000 min, 11478 scans) MURCHISON_031225.D "
#Point,X(Thompsons),Y(Counts)
0,45.1,917.2568359375
1,45.3,4.45138502120972
2,45.5,0.14418888092041
3,45.7,1.91296398639679
4,45.9,29.1218852996826
5,46.1,159.267822265625
6,46.2,41.3093757629395
7,46.4,2.53336811065674
8,46.7,2.79944252967834
9,46.9,29.333158493042
10,47.1,88.9583587646484
11,47.2,30.1030673980713
12,47.4,0.735668241977692
13,47.7,0.120230004191399
14,47.9,13.607684135437
15,48.1,4196.21484375
16,48.2,32.1450614929199
17,48.4,0.0290991459041834
18,48.6,0.120055757462978
19,48.8,4.46732902526855
20,49.0,47.5995826721191
21,49.1,106.962623596191
22,49.3,9.6082067489624
23,49.5,0.708224415779114
24,49.7,2.0853807926178
25,49.9,25.7301788330078
26,50.1,712.544677734375
27,50.2,241.33821105957
28,50.4,1.62319219112396
29,50.6,0.347447276115417
30,50.8,5.31390476226807
31,51.0,78.1853103637695
32,51.2,1158.7119140625
33,51.3,10.6039381027222
34,51.6,1.2853285074234
35,51.8,5.43134689331055
36,52.0,71.7514343261719
37,52.1,420.725646972656
38,52.3,16.1784286499023
39,52.6,1.75518381595612
40,52.8,4.14331769943237
41,53.0,69.3784637451172
42,53.1,583.298645019531
43,53.3,14.7592782974243
44,53.6,0.969681143760681
45,53.8,4.79534769058228
46,54.0,60.8833427429199
47,54.2,256.1162109375
48,54.3,28.0427780151367
49,54.5,1.22242546081543
50,54.7,1.28384733200073
51,54.8,2.51925420761108
52,55.0,45.5925254821777
53,55.2,1641.34582519531
54,55.3,15.8181743621826
55,55.6,0.710838139057159
56,55.8,3.26642274856567
57,56.0,47.6908874511719
58,56.2,597.933288574219
59,56.3,33.5936584472656
60,56.5,1.05776262283325
61,56.8,3.03964114189148
62,57.0,30.8641757965088
63,57.2,1324.37939453125
64,57.3,54.9719467163086
65,57.6,12.7741765975952
66,57.7,3.85694360733032
67,57.9,34.3407402038574
68,58.1,330.650970458984
69,58.2,91.2037811279297
70,58.4,5.08058881759644
71,58.7,5.62014293670654
72,58.9,35.8589477539063
73,59.0,82.3960647583008
74,59.1,198.09147644043
75,59.3,14.912615776062
76,59.5,0.889440655708313
77,59.7,2.68513679504395
78,59.9,38.2504806518555
79,60.1,286.869140625
80,60.2,67.7052612304688
81,60.4,2.44162750244141
82,60.7,2.5780622959137
83,60.9,32.336555480957
84,61.1,169.608734130859
85,61.2,61.1408767700195
86,61.4,3.16849637031555
87,61.7,2.80649948120117
88,61.9,22.7321834564209
89,62.1,258.939544677734
90,62.2,94.3284530639648
91,62.3,10.0525350570679
92,62.6,1.57344484329224
93,62.8,5.29926824569702
94,63.0,31.6089038848877
95,63.2,591.068054199219
96,63.3,9.07684230804443
97,63.5,0.0270081888884306
98,63.7,0.0263112038373947
99,63.9,15.2736539840698
100,64.1,11846.533203125
101,64.2,6.80693483352661
102,64.6,0.0565429516136646
103,64.8,4.7101411819458
104,65.0,145.142013549805
105,65.1,911.691772460938
106,65.3,8.72538757324219
107,65.4,2.88125109672546
108,65.7,2.30946159362793
109,65.9,39.2016906738281
110,66.1,1186.36181640625
111,66.2,105.407913208008
112,66.4,0.634431064128876
113,66.6,0.878898739814758
114,66.8,4.24403190612793
115,67.0,70.0290145874023
116,67.1,933.982849121094
117,67.3,16.1208400726318
118,67.6,1.56481969356537
119,67.8,6.56534242630005
120,68.0,77.3348999023438
121,68.1,365.333770751953
122,68.3,26.4619274139404
123,68.5,1.79099142551422
124,68.8,4.51925420761108
125,69.0,45.0677833557129
126,69.2,1562.76977539063
127,69.3,20.1469764709473
128,69.5,2.592524766922
129,69.7,3.40529704093933
130,69.8,4.22399377822876
131,70.0,55.811637878418
132,70.2,697.264587402344
133,70.3,37.8673973083496
134,70.6,3.68443989753723
135,70.7,1.24159264564514
136,70.9,11.7979612350464
137,71.1,461.997222900391
138,71.2,477.487030029297
139,71.4,2.56420969963074
140,71.7,2.4255096912384
141,71.9,22.6976833343506
142,72.1,101.203956604004
143,72.2,42.4661979675293
144,72.4,4.38856935501099
145,72.6,0.724952101707458
146,72.8,4.79421520233154
147,73.0,101.641227722168
148,73.1,810.757995605469
149,73.2,393.484832763672
150,73.4,1.83594703674316
151,73.6,1.38421332836151
152,73.8,7.62737417221069
153,74.0,137.496170043945
154,74.1,432.013763427734
155,74.3,13.7539644241333
156,74.6,1.55018293857574
157,74.8,8.18513679504395
158,75.0,153.875762939453
159,75.1,487.364166259766
160,75.3,15.1886215209961
161,75.5,0.556281566619873
162,75.7,2.33577275276184
163,75.9,79.9051208496094
164,76.1,867.1435546875
165,76.2,141.799270629883
166,76.4,1.65159440040588
167,76.6,0.521955072879791
168,76.8,6.52753114700317
169,77.0,147.617263793945
170,77.1,1776.10571289063
171,77.3,9.03998947143555
172,77.5,0.409566134214401
173,77.7,1.67686009407043
174,77.9,34.4755172729492
175,78.1,729.022827148438
176,78.2,304.67919921875
177,78.4,1.58503222465515
178,78.5,0.645669996738434
179,78.8,4.80379867553711
180,79.0,163.016906738281
181,79.1,964.224060058594
182,79.3,8.62179851531982
183,79.6,0.771040260791779
184,79.8,10.088342666626
185,80.0,110.760498046875
186,80.1,220.807891845703
187,80.3,16.6403560638428
188,80.5,1.8463146686554
189,80.8,7.91017580032349
190,81.0,128.947906494141
191,81.1,884.097839355469
192,81.3,18.179386138916
193,81.4,3.46593475341797
194,81.6,1.4077365398407
195,81.8,13.2284374237061
196,82.0,116.8505859375
197,82.1,475.172943115234
198,82.3,32.770866394043
199,82.6,5.03171300888062
200,82.8,8.07614612579346
201,83.0,61.620491027832
202,83.2,912.159790039063
203,83.3,23.0879077911377
204,83.5,3.12388920783997
205,83.8,6.19114828109741
206,84.0,68.1304244995117
207,84.1,473.709625244141
208,84.3,20.8714923858643
209,84.4,4.09923315048218
210,84.6,0.664837062358856
211,84.8,5.51777315139771
212,85.0,65.3732376098633
213,85.2,559.644287109375
214,85.3,29.965934753418
215,85.5,0.889702022075653
216,85.7,2.95591568946838
217,85.9,27.0855541229248
218,86.1,165.977523803711
219,86.2,45.2005577087402
220,86.4,4.08276700973511
221,86.6,1.0758843421936
222,86.8,15.1664056777954
223,87.0,105.268249511719
224,87.1,193.086517333984
225,87.3,15.7909917831421
226,87.6,6.03955411911011
227,87.8,18.2835865020752
228,88.0,73.7068328857422
229,88.1,149.724945068359
230,88.3,9.12406349182129
231,88.4,5.29630613327026
232,88.7,6.40172481536865
233,88.9,54.5474815368652
234,89.1,596.097595214844
235,89.2,116.263198852539
236,89.4,2.91488075256348
237,89.6,5.21554279327393
238,89.8,13.0538425445557
239,90.0,50.8267974853516
240,90.1,247.082504272461
241,90.3,9.38491058349609
242,90.5,1.56316435337067
243,90.8,6.18984127044678
244,90.9,17.9756927490234
245,91.1,2791.18359375
246,91.2,481.912445068359
247,91.4,1.34579193592072
248,91.6,1.09705519676208
249,91.8,6.87192869186401
250,92.0,85.8731460571289
251,92.1,602.861938476563
252,92.3,14.2900333404541
253,92.6,1.57292211055756
254,92.8,6.62144994735718
255,93.0,111.744033813477
256,93.1,540.225219726563
257,93.3,16.904426574707
258,93.5,1.01725041866302
259,93.7,3.31425333023071
260,93.9,28.9252490997314
261,94.1,718.949401855469
262,94.2,110.856941223145
263,94.4,7.01655340194702
264,94.6,1.78715801239014
265,94.8,6.57780122756958
266,95.0,76.5469589233398
267,95.1,1225.21435546875
268,95.3,19.3677463531494
269,95.5,1.01071619987488
270,95.8,4.28445720672607
271,95.9,51.3562469482422
272,96.1,1681.46337890625
273,96.2,243.335601806641
274,96.4,3.51515936851501
275,96.6,5.87262582778931
276,96.8,35.7385444641113
277,97.0,113.648544311523
278,97.1,1486.98278808594
279,97.3,23.6367835998535
280,97.6,5.30824184417725
281,97.8,11.7949123382568
282,98.0,124.014114379883
283,98.1,394.776702880859
284,98.3,16.034761428833
285,98.6,2.0272696018219
286,98.7,1.56760764122009
287,98.9,22.7978744506836
288,99.1,264.636077880859
289,99.2,80.7411575317383
290,99.4,4.51481103897095
291,99.7,3.50566291809082
292,99.9,24.3925762176514
293,100.1,97.137565612793
294,100.2,40.7188529968262
295,100.4,4.61613512039185
296,100.6,1.76607418060303
297,100.8,11.5834636688232
298,101.0,64.6875762939453
299,101.1,138.515426635742
300,101.2,42.4066925048828
301,101.4,3.04225468635559
302,101.6,3.16797351837158
303,101.8,13.1892318725586
304,102.0,90.8511047363281
305,102.1,410.7431640625
306,102.3,9.50958347320557
307,102.6,2.67912530899048
308,102.8,16.4007663726807
309,103.0,194.142532348633
310,103.1,1609.80932617188
311,103.3,9.76389598846436
312,103.5,1.58250570297241
313,103.7,6.58085012435913
314,103.9,40.7646789550781
315,104.1,867.096618652344
316,104.2,116.430038452148
317,104.4,3.44241166114807
318,104.6,1.37872457504272
319,104.8,12.31312084198
320,105.0,130.410705566406
321,105.1,1839.94360351563
322,105.2,719.815124511719
323,105.4,1.28593826293945
324,105.6,1.45913922786713
325,105.8,7.503746509552
326,106.0,99.7435989379883
327,106.2,1361.40124511719
328,106.3,14.15185546875
329,106.6,2.80327582359314
330,106.8,9.33612155914307
331,107.0,106.982666015625
332,107.1,311.992767333984
333,107.2,145.659255981445
334,107.4,4.08947563171387
335,107.6,1.22050881385803
336,107.8,9.15725708007813
337,108.0,100.01350402832
338,108.1,209.546691894531
339,108.2,82.9187164306641
340,108.4,4.95216941833496
341,108.6,1.48841261863708
342,108.8,5.33786392211914
343,109.0,113.369400024414
344,109.1,1046.05236816406
345,109.3,18.0617694854736
346,109.5,0.486583024263382
347,109.7,3.12057852745056
348,109.9,24.6830463409424
349,110.1,518.352783203125
350,110.2,125.280883789063
351,110.4,4.90006971359253
352,110.6,1.39336121082306
353,110.8,8.0366792678833
354,111.0,139.361389160156
355,111.1,1251.27404785156
356,111.3,19.3755874633789
357,111.6,2.87576222419739
358,111.8,8.09235095977783
359,111.9,19.6552543640137
360,112.1,706.084838867188
361,112.2,67.5055770874023
362,112.4,3.09095668792725
363,112.6,2.99607944488525
364,112.8,8.37767887115479
365,113.0,89.1277236938477
366,113.1,143.205871582031
367,113.2,58.9103507995605
368,113.4,3.9767382144928
369,113.7,4.0182089805603
370,113.9,20.8628673553467
371,114.1,84.7278289794922
372,114.2,17.0966205596924
373,114.3,6.13878726959229
374,114.6,1.45443451404572
375,114.7,2.65873837471008
376,114.9,50.7269554138184
377,115.0,137.940231323242
378,115.1,1063.24084472656
379,115.3,6.77731323242188
380,115.6,1.56987285614014
381,115.8,9.82070064544678
382,116.0,86.3302841186523
383,116.1,468.954437255859
384,116.3,9.54574012756348
385,116.4,2.68792462348938
386,116.7,3.99886751174927
387,116.9,39.7266082763672
388,117.0,88.6757278442383
389,117.1,1256.75024414063
390,117.3,9.83185195922852
391,117.4,2.53075456619263
392,117.7,4.10019159317017
393,117.8,10.0149850845337
394,118.0,91.71484375
395,118.1,660.247192382813
396,118.3,15.380467414856
397,118.6,1.61831331253052
398,118.8,11.0759716033936
399,118.9,51.6309471130371
400,119.1,909.519348144531
401,119.2,526.153137207031
402,119.5,1.75849449634552
403,119.7,3.40947890281677
404,119.9,32.8029289245605
405,120.1,428.731842041016
406,120.2,404.000793457031
407,120.4,3.11648368835449
408,120.6,1.02805364131927
409,120.8,11.7097930908203
410,121.0,123.51350402832
411,121.1,197.222686767578
412,121.2,96.3199996948242
413,121.4,2.61090779304504
414,121.6,1.07309639453888
415,121.8,9.96541213989258
416,122.0,126.68627166748
417,122.1,209.334289550781
418,122.2,53.1267623901367
419,122.4,2.87070918083191
420,122.7,2.55994081497192
421,122.9,18.514461517334
422,123.1,382.7802734375
423,123.2,110.447113037109
424,123.4,2.875239610672
425,123.7,2.35136795043945
426,123.9,20.9981708526611
427,124.1,255.860076904297
428,124.2,78.8032760620117
429,124.4,3.06769466400146
430,124.6,2.9257709980011
431,124.8,15.2142362594604
432,125.0,140.886047363281
433,125.1,387.875671386719
434,125.3,25.3952770233154
435,125.6,7.71615266799927
436,125.8,14.3649587631226
437,126.0,149.638870239258
438,126.1,576.320373535156
439,126.3,18.0946159362793
440,126.5,1.97037816047668
441,126.7,5.17921257019043
442,126.9,25.482400894165
443,127.1,250.723205566406
444,127.2,346.342041015625
445,127.4,2.14427590370178
446,127.6,1.73915314674377
447,127.8,13.3496255874634
448,128.0,452.363311767578
449,128.1,2753.0869140625
450,128.2,79.7902069091797
451,128.4,2.47203350067139
452,128.6,0.99250739812851
453,128.8,9.94458961486816
454,129.0,96.7701721191406
455,129.1,513.578430175781
456,129.2,87.0135879516602
457,129.4,3.06595230102539
458,129.6,1.35267472267151
459,129.8,16.6534233093262
460,130.0,122.166664123535
461,130.1,182.502792358398
462,130.3,8.64279460906982
463,130.6,1.89980828762054
464,130.8,11.3515424728394
465,131.0,89.767204284668
466,131.1,528.792114257813
467,131.3,9.40947914123535
468,131.4,3.35180354118347
469,131.7,5.50940942764282
470,131.9,35.1647491455078
471,132.1,297.414001464844
472,132.2,103.463233947754
473,132.3,10.1766862869263
474,132.5,0.451036751270294
475,132.7,1.65908694267273
476,132.9,46.854679107666
477,133.1,1077.04638671875
478,133.2,254.75927734375
479,133.4,1.25518381595612
480,133.6,1.56307721138
481,133.8,23.8298492431641
482,134.0,161.651596069336
483,134.1,1185.5869140625
484,134.3,12.452953338623
485,134.5,0.746907114982605
486,134.7,3.61404418945313
487,134.9,52.7156295776367
488,135.1,431.258850097656
489,135.2,81.5608978271484
490,135.4,2.79543471336365
491,135.7,3.66527271270752
492,135.9,32.6648368835449
493,136.1,159.675201416016
494,136.2,29.4434566497803
495,136.3,12.7433347702026
496,136.6,2.16074228286743
497,136.8,13.2642450332642
498,137.0,122.275741577148
499,137.1,210.194366455078
500,137.3,17.3973693847656
501,137.6,1.67851543426514
502,137.8,7.86382627487183
503,138.0,64.746208190918
504,138.1,127.320266723633
505,138.3,15.5280532836914
506,138.6,2.43021440505981
507,138.8,10.4827499389648
508,139.0,103.241241455078
509,139.1,289.929962158203
510,139.3,13.489893913269
511,139.5,0.895539283752441
512,139.7,2.45582842826843
513,139.9,22.110559463501
514,140.0,520.037292480469
515,140.2,64.0664749145508
516,140.3,15.0048789978027
517,140.5,0.933786392211914
518,140.7,2.82209444046021
519,140.9,22.5083637237549
520,141.0,80.8802947998047
521,141.1,842.178283691406
522,141.3,12.0433874130249
523,141.5,1.11508977413177
524,141.7,3.70857286453247
525,141.9,22.7561416625977
526,142.0,72.3708801269531
527,142.1,653.807006835938
528,142.3,8.39571380615234
529,142.5,0.963408231735229
530,142.7,3.9309983253479
531,142.8,5.78193044662476
532,143.0,65.8573760986328
533,143.1,187.821746826172
534,143.3,9.0582857131958
535,143.5,1.04173195362091
536,143.7,3.27252125740051
537,143.9,21.6905384063721
538,144.1,107.949295043945
539,144.2,38.8103332519531
540,144.4,3.22582340240479
541,144.7,4.12545728683472
542,144.8,7.67929935455322
543,145.0,84.2929916381836
544,145.1,265.560821533203
545,145.3,10.2080497741699
546,145.6,2.67973518371582
547,145.8,11.4083461761475
548,145.9,18.7768783569336
549,146.1,157.813552856445
550,146.2,66.9964294433594
551,146.4,1.18304586410522
552,146.6,1.38996338844299
553,146.8,11.0770168304443
554,147.0,306.816253662109
555,147.1,629.989990234375
556,147.2,105.456001281738
557,147.4,1.20334553718567
558,147.6,0.642010807991028
559,147.8,15.1790380477905
560,147.9,33.849536895752
561,148.1,393.957061767578
562,148.2,122.92098236084
563,148.4,2.25274443626404
564,148.6,2.67076134681702
565,148.8,18.72190284729
566,149.0,131.870712280273
567,149.1,175.470123291016
568,149.3,10.5131559371948
569,149.4,3.74664568901062
