#"+ Scan (rt: 4.980-55.035 min, 8759 scans) PP_020822.D "
#Point,X(Thompsons),Y(Counts)
0,50.1,251.209503173828
1,50.3,12.3069982528687
2,50.4,2.03196716308594
3,50.6,0.286904901266098
4,50.8,1.54104351997375
5,51.0,98.5833969116211
6,51.1,557.151977539063
7,51.3,16.7175483703613
8,51.6,0.365110158920288
9,51.8,2.54983448982239
10,52.0,57.4272193908691
11,52.2,226.2646484375
12,52.3,20.3535785675049
13,52.5,0.505423009395599
14,52.7,0.291699975728989
15,52.9,4.84690046310425
16,53.1,800.561279296875
17,53.2,816.914611816406
18,53.4,0.309053540229797
19,53.6,0.0415572561323643
20,53.8,1.14453709125519
21,54.0,59.7342147827148
22,54.2,471.558044433594
23,54.3,30.3613433837891
24,54.5,0.0785477757453918
25,55.0,2.2342734336853
26,55.2,13600.7099609375
27,55.3,2.11588072776794
28,55.9,0.501312911510468
29,56.1,815.05126953125
30,56.2,4720.94189453125
31,56.4,0.393423914909363
32,56.8,0.0323096252977848
33,57.0,5.96974563598633
34,57.2,17219.677734375
35,57.3,9.82874774932861
36,57.5,0.217262238264084
37,57.7,0.327434629201889
38,57.9,7.87532806396484
39,58.1,311.203918457031
40,58.2,583.858337402344
41,58.4,3.01449942588806
42,58.6,0.218289762735367
43,58.8,1.96403694152832
44,59.0,40.6787300109863
45,59.1,90.0558319091797
46,59.3,12.4586143493652
47,59.5,0.29341247677803
48,59.7,0.471971690654755
49,59.9,8.57666397094727
50,60.1,49.9463424682617
51,60.2,22.5678730010986
52,60.4,0.841876924037933
53,60.5,0.398903995752335
54,60.8,1.60429275035858
55,61.0,22.0517177581787
56,61.1,33.6161651611328
57,61.3,4.10994386672974
58,61.5,0.110514901578426
59,61.7,0.691174805164337
60,61.9,7.48281764984131
61,62.1,39.920539855957
62,62.2,18.0404148101807
63,62.4,1.29021573066711
64,62.6,0.289644926786423
65,62.8,3.44103217124939
66,63.0,65.5878524780273
67,63.1,166.71435546875
68,63.3,12.6344327926636
69,63.5,1.13403356075287
70,63.8,6.87589883804321
71,64.0,57.8397064208984
72,64.1,66.1471633911133
73,64.3,7.82109832763672
74,64.5,0.525973260402679
75,64.8,1.8913117647171
76,65.0,94.836051940918
77,65.1,551.814392089844
78,65.3,16.6907176971436
79,65.4,1.64562165737152
80,65.6,0.163603156805038
81,65.8,3.50519466400146
82,66.0,57.4904670715332
83,66.2,182.895874023438
84,66.3,18.9710006713867
85,66.5,0.34364652633667
86,66.8,0.0204361230134964
87,67.0,43.2936401367188
88,67.2,2882.81591796875
89,67.3,8.89370918273926
90,67.5,0.0593675076961517
91,67.8,0.420938462018967
