#"+ Scan (rt: 4.980-55.035 min, 8759 scans) PVC_060922.D "
#Point,X(Thompsons),Y(Counts)
0,50.1,2908.82470703125
1,50.3,7.89462280273438
2,50.5,0.0365338511765003
3,51.0,33.1099433898926
4,51.1,5946.4423828125
5,51.3,2.50245451927185
6,51.8,0.628610551357269
7,52.0,74.109375
8,52.1,1591.6630859375
9,52.3,19.0015983581543
10,52.5,0.140312820672989
11,52.8,0.078890286386013
12,53.0,41.3517532348633
13,53.1,1775.25939941406
14,53.3,10.5218629837036
15,53.8,0.647448360919952
16,54.0,62.1142807006836
17,54.2,510.709777832031
18,54.3,31.795524597168
19,54.4,4.02991199493408
20,54.6,0.0540015995502472
21,55.0,10.2139511108398
22,55.2,2276.85620117188
23,55.3,13.720287322998
24,55.8,0.96677702665329
25,56.0,62.7834243774414
26,56.2,431.508728027344
27,56.3,53.9033012390137
28,56.5,6.99828767776489
29,56.8,3.93252658843994
30,57.0,40.2758293151855
31,57.2,429.38818359375
32,57.3,152.880233764648
33,57.6,441.533508300781
34,57.7,408.183349609375
35,58.0,275.032867431641
36,58.1,227.605438232422
37,58.3,33.9220237731934
38,58.5,2.56250715255737
39,58.8,7.92556238174438
40,59.0,59.9006729125977
41,59.1,177.452682495117
42,59.3,23.3584880828857
43,59.5,2.3353123664856
44,59.6,2.53465008735657
45,59.9,12.2210302352905
46,60.1,82.6302108764648
47,60.2,37.2176055908203
48,60.4,1.48121929168701
49,60.6,0.436237007379532
50,60.8,3.40015983581543
51,60.9,15.5530309677124
52,61.1,519.3212890625
53,61.2,121.468887329102
54,61.4,3.40084481239319
55,61.7,0.491951137781143
56,61.9,12.9314994812012
57,62.1,1700.54235839844
58,62.2,288.009918212891
59,62.4,1.459641456604
60,62.9,1.72428357601166
61,63.1,4767.61767578125
62,63.2,1184.48693847656
63,63.6,0.0254595279693604
64,63.8,3.99760246276855
65,64.0,176.314071655273
66,64.1,2529.98510742188
67,64.3,51.7870750427246
68,64.5,2.3010618686676
69,64.7,0.0456673130393028
70,64.9,2.72805118560791
71,65.1,3211.49047851563
72,65.2,1056.57141113281
73,65.8,0.54857861995697
74,66.0,97.5037078857422
75,66.1,890.435424804688
76,66.3,32.0195236206055
77,66.5,0.287361562252045
78,67.0,18.6473350524902
79,67.2,3079.25732421875
80,67.3,7.02819967269897
81,67.8,1.00730681419373
82,68.0,76.5951614379883
83,68.2,656.252319335938
84,68.3,46.2641868591309
85,68.5,2.788902759552
86,68.8,0.824751675128937
87,69.0,44.520149230957
88,69.2,721.025695800781
89,69.3,272.789031982422
90,69.6,448.153656005859
91,69.7,178.096923828125
92,70.0,204.845764160156
93,70.2,280.377655029297
94,70.3,233.353469848633
95,70.5,36.3413619995117
96,70.6,145.141906738281
97,70.9,82.9644927978516
98,71.1,731.063354492188
99,71.2,239.955139160156
100,71.4,11.1927156448364
101,71.7,7.08231544494629
102,71.9,27.7215442657471
103,72.1,77.2157745361328
104,72.2,34.4603271484375
105,72.4,4.09327554702759
106,72.7,0.925333917140961
107,72.9,15.180272102356
108,73.1,1333.35766601563
109,73.2,372.708770751953
110,73.4,2.07112693786621
111,73.5,0.674277901649475
112,73.8,0.9154012799263
113,74.0,165.521865844727
114,74.1,2603.34838867188
115,74.3,7.93766403198242
116,74.5,0.189176842570305
117,74.7,0.0470373332500458
118,74.9,5.60235166549683
119,75.1,2817.88330078125
120,75.2,726.648681640625
121,75.4,0.923621416091919
122,75.8,2.09772801399231
123,76.0,137.292724609375
124,76.1,5025.24951171875
125,76.3,28.0721549987793
126,76.5,0.0772919282317162
127,76.8,2.27172040939331
128,76.9,9.49686050415039
129,77.1,7762.7919921875
130,77.2,1134.73864746094
131,78.0,67.3828048706055
132,78.1,4962.97021484375
133,78.3,5.54172849655151
134,79.0,11.7504281997681
135,79.1,5698.95751953125
136,79.3,0.519579887390137
137,79.8,1.78376531600952
138,80.0,79.9150619506836
139,80.2,1457.20617675781
140,80.3,37.9167709350586
141,80.5,0.519694030284882
142,81.0,20.1260414123535
143,81.2,2599.3779296875
144,81.3,307.443664550781
145,81.4,102.166000366211
146,81.6,26.419454574585
147,81.8,61.6512145996094
148,82.0,171.465469360352
149,82.2,875.572082519531
150,82.3,813.630798339844
151,82.6,1208.19787597656
152,82.8,467.347290039063
153,83.0,598.372192382813
154,83.1,586.942687988281
155,83.3,60.8733863830566
156,83.5,7.03151035308838
157,83.8,24.665828704834
158,84.0,155.463073730469
159,84.1,284.680999755859
160,84.3,46.5409278869629
161,84.5,3.69916653633118
162,84.7,6.15789461135864
163,84.9,35.0213508605957
164,85.1,409.918365478516
165,85.2,172.368423461914
166,85.4,4.63888549804688
167,85.6,1.98550057411194
168,85.8,5.19180250167847
169,86.0,148.423217773438
170,86.1,1018.14007568359
171,86.3,11.9857292175293
172,86.4,2.16965413093567
173,86.7,0.333599716424942
174,86.9,17.2131519317627
175,87.1,1678.31384277344
176,87.2,485.2802734375
177,87.4,6.8538646697998
178,87.7,3.83365678787231
179,87.9,39.9970321655273
180,88.1,2053.14916992188
181,88.2,616.996032714844
182,88.4,5.28153896331787
183,88.6,1.18209838867188
184,88.8,2.44537043571472
185,89.0,181.434417724609
186,89.1,6539.0625
187,89.3,7.34353256225586
188,89.7,1.65612518787384
189,89.9,127.855690002441
190,90.1,585.353576660156
191,90.2,209.545837402344
192,90.4,1.66959702968597
193,91.0,1.2376983165741
194,91.1,20815.67578125
195,92.0,66.6230163574219
196,92.1,3482.79614257813
197,92.3,11.4490242004395
198,92.5,0.17090992629528
199,92.9,0.654526770114899
200,93.1,1245.76940917969
201,93.2,1588.59716796875
202,93.4,148.007995605469
203,93.7,147.836853027344
204,93.8,148.667770385742
205,94.1,436.455413818359
206,94.2,447.436920166016
207,94.5,306.059600830078
208,94.7,1897.51196289063
209,94.8,412.390106201172
210,95.0,336.727355957031
211,95.2,1437.38977050781
212,95.3,71.3445587158203
213,95.6,0.906838655471802
214,95.8,29.2300491333008
215,96.0,412.308471679688
216,96.1,1838.81494140625
217,96.3,51.6491622924805
218,96.5,2.28941655158997
219,96.8,41.811164855957
220,96.9,65.5545120239258
221,97.1,441.371276855469
222,97.2,262.882049560547
223,97.4,9.5695858001709
224,97.7,3.63603162765503
225,97.9,42.4699172973633
226,98.1,928.841979980469
227,98.2,161.731246948242
228,98.4,2.34832739830017
229,98.7,1.42721772193909
230,98.9,26.3310871124268
231,99.1,602.336669921875
232,99.2,271.493103027344
233,99.4,17.0036525726318
234,99.6,0.970087885856628
235,99.8,6.02260541915894
236,100.0,180.955810546875
237,100.1,1262.69750976563
238,100.3,86.4825897216797
239,100.6,1.71492183208466
240,100.8,2.02694368362427
241,101.0,170.420257568359
242,101.1,4495.2958984375
243,101.3,19.3095092773438
244,101.5,0.352437496185303
245,101.7,1.88423335552216
246,101.9,207.312362670898
247,102.1,3698.75830078125
248,102.2,430.590148925781
249,102.4,1.24911522865295
250,102.6,0.338052302598953
251,102.8,1.82052743434906
252,102.9,12.698709487915
253,103.1,3945.099609375
254,103.2,722.872375488281
255,103.8,0.97933554649353
256,104.0,105.450164794922
257,104.1,6021.88525390625
258,104.3,13.3800659179688
259,104.4,0.46660578250885
260,104.9,0.763215005397797
261,105.1,6207.6875
262,105.2,3722.48364257813
263,105.4,15.7049894332886
264,105.5,5.59755659103394
265,105.8,9.25037097930908
266,106.0,81.3979873657227
267,106.2,3951.80444335938
268,106.4,278.332458496094
269,106.5,211.594360351563
270,106.7,646.290771484375
271,106.8,434.433624267578
272,107.1,733.713806152344
273,107.2,939.065551757813
274,107.5,429.522094726563
275,107.6,314.968139648438
276,107.8,1033.50305175781
277,108.0,705.921691894531
278,108.2,846.7880859375
279,108.3,58.6826133728027
280,108.5,1.27457475662231
281,108.8,21.4634094238281
282,109.0,250.746200561523
283,109.2,928.063354492188
284,109.3,66.8924560546875
285,109.4,2.97305631637573
286,109.6,0.705445826053619
287,109.8,13.4285879135132
288,110.0,186.361343383789
289,110.1,620.347900390625
290,110.3,37.2295913696289
291,110.5,2.74494814872742
292,110.8,9.1384859085083
293,111.0,138.076156616211
294,111.1,485.570739746094
295,111.3,71.1773071289063
296,111.5,4.07980346679688
297,111.7,2.98687076568604
298,111.9,39.7667541503906
299,112.1,623.612609863281
300,112.2,572.029907226563
301,112.4,22.1110858917236
302,112.5,1.15035963058472
303,112.8,1.70053660869598
304,113.0,241.343078613281
305,113.1,3332.09692382813
306,113.3,18.7293071746826
307,113.6,0.440689563751221
308,113.8,16.877384185791
309,114.0,359.705902099609
310,114.1,2361.9970703125
311,114.3,46.5583953857422
312,114.6,0.0219203103333712
313,114.8,0.356890052556992
314,115.0,122.506446838379
315,115.1,23686.505859375
316,115.3,0.169654071331024
317,115.7,0.0661034360527992
318,115.9,5.43589448928833
319,116.1,7312.78515625
320,116.2,1322.62805175781
321,116.5,0.137572780251503
322,116.7,0.359401762485504
323,116.9,4.38063716888428
324,117.1,9535.1728515625
325,117.2,3902.72216796875
326,117.4,0.0230619926005602
327,117.5,0.086197055876255
328,117.8,2.06484746932983
329,118.0,57.972827911377
330,118.2,4807.0673828125
331,118.3,279.337127685547
332,118.5,102.882751464844
333,118.8,65.5402450561523
334,119.0,122.33154296875
335,119.2,3084.923828125
336,119.3,236.810134887695
337,119.5,636.361022949219
338,119.7,1008.95983886719
339,119.8,606.385803222656
340,120.1,615.786865234375
341,120.2,1414.9443359375
342,120.4,3.1940860748291
343,120.6,0.100810594856739
344,120.8,40.8974761962891
345,121.0,342.627227783203
346,121.1,743.83203125
347,121.2,780.263732910156
348,121.4,1.79209959506989
349,121.6,0.20892795920372
350,121.8,17.6725654602051
351,122.0,226.90364074707
352,122.1,887.487182617188
353,122.3,45.9773941040039
354,122.4,4.87943840026855
355,122.6,0.932069897651672
356,122.8,12.1730794906616
357,123.0,143.937545776367
358,123.1,432.370147705078
359,123.3,72.2189712524414
360,123.5,5.28051137924194
361,123.8,10.8834342956543
362,124.0,115.758766174316
363,124.1,155.391937255859
364,124.2,269.632720947266
365,124.4,26.1726226806641
366,124.7,1.75088477134705
367,124.9,32.3663673400879
368,125.1,927.505187988281
369,125.2,521.346618652344
370,125.4,4.66434526443481
371,125.5,1.29386913776398
372,125.8,3.40803742408752
373,125.9,7.69334411621094
374,126.1,4040.56079101563
375,126.2,1341.74243164063
376,126.4,1.82555091381073
377,126.7,3.60611939430237
378,126.9,196.981735229492
379,127.1,5587.345703125
380,127.2,1944.04516601563
381,127.4,0.359630107879639
382,127.7,0.20858545601368
383,127.9,2.55451536178589
384,128.1,17883.47265625
385,128.2,9970.484375
386,128.4,0.171594932675362
387,128.7,0.175134152173996
388,128.9,1.47528254985809
389,129.1,13165.2978515625
390,129.2,6050.3408203125
391,129.4,0.106062337756157
392,129.5,0.109487384557724
393,129.9,1.87841081619263
394,130.1,4293.67431640625
395,130.2,4807.5654296875
396,130.4,51.815616607666
397,130.7,1.81116569042206
398,130.9,6.64162588119507
399,131.0,14.0706701278687
400,131.2,7009.4716796875
401,131.4,618.477783203125
402,131.5,482.262817382813
403,131.7,303.039398193359
404,132.0,168.874877929688
405,132.2,2940.95434570313
406,132.4,369.665496826172
407,132.5,126.533279418945
408,132.7,169.180725097656
409,132.9,576.253662109375
410,133.1,1847.00598144531
411,133.2,973.392639160156
412,133.4,0.224911525845528
413,133.7,1.05091905593872
414,133.9,100.623359680176
415,134.1,661.553039550781
416,134.2,839.858093261719
417,134.4,4.16360330581665
418,134.7,2.42150926589966
419,134.9,42.5631904602051
420,135.1,563.435913085938
421,135.2,515.007751464844
422,135.4,3.8246374130249
423,135.7,2.61205625534058
424,135.9,39.0672454833984
425,136.1,230.603942871094
426,136.2,254.413970947266
427,136.4,17.6666278839111
428,136.7,2.44833874702454
429,136.9,26.8796672821045
430,137.1,588.209289550781
431,137.2,338.952728271484
432,137.4,6.85500621795654
433,137.7,1.20002281665802
434,137.9,23.7021350860596
435,138.1,807.766174316406
436,138.2,761.113037109375
437,138.4,7.04144287109375
438,138.7,1.07032763957977
439,138.9,59.1330070495605
440,139.1,3955.86254882813
441,139.2,635.802490234375
442,139.4,1.23027741909027
443,139.6,0.566731333732605
444,139.8,32.5603370666504
445,140.0,262.159942626953
446,140.1,385.767883300781
447,140.2,356.454833984375
448,140.4,6.06610345840454
449,140.6,0.0553716160356998
450,140.8,0.601781010627747
451,141.0,11.1236438751221
452,141.1,18069.380859375
453,141.3,1.74392056465149
454,141.6,0.166571527719498
455,141.8,0.7127525806427
456,142.0,19.4281311035156
457,142.2,12064.537109375
458,142.3,6.44571304321289
459,142.5,0.0368763543665409
460,142.7,0.202192038297653
461,142.8,0.246260985732079
462,143.0,11.0389318466187
463,143.2,7286.86669921875
464,143.3,133.329376220703
465,143.5,6.10195207595825
466,143.8,25.4874992370605
467,144.0,64.0925903320313
468,144.2,4094.09936523438
469,144.3,102.115081787109
470,144.4,134.017700195313
471,144.7,52.177074432373
472,144.9,156.563186645508
473,145.0,190.956848144531
474,145.2,3721.89282226563
475,145.3,26.9055824279785
476,145.5,0.102865621447563
477,145.8,10.9385776519775
478,146.0,162.344787597656
479,146.2,1827.15173339844
480,146.3,78.544921875
481,146.6,2.39193964004517
482,146.8,4.65932178497314
483,147.0,234.849975585938
484,147.2,1188.50659179688
485,147.3,61.236328125
486,147.6,0.669368624687195
487,147.8,10.4219655990601
488,148.0,124.961181640625
489,148.2,643.23291015625
490,148.3,83.2939834594727
491,148.5,3.96826124191284
492,148.8,6.14956045150757
493,149.0,155.626327514648
