#"+ Scan (rt: 4.980-38.001 min, 5725 scans) REDWAX251018_2.D "
#Point,X(Thompsons),Y(Counts)
0,45.0,0.0108296945691109
1,45.1,294.430755615234
2,45.3,5.14969444274902
3,45.6,2.86061143875122
4,45.8,14.2831439971924
5,46.0,40.7718772888184
6,46.1,34.7161560058594
7,46.3,6.65868997573853
8,46.6,3.9902184009552
9,46.8,18.7991275787354
10,46.9,34.9972038269043
11,47.0,89.5428848266602
12,47.2,14.1907424926758
13,47.4,1.79283845424652
14,47.6,4.3119649887085
15,47.8,10.8169431686401
16,47.9,8.09152793884277
17,48.1,16.5210475921631
18,48.2,5.71842813491821
19,48.3,5.77100419998169
20,48.5,2.3617467880249
21,48.7,7.80960702896118
22,48.8,9.69956302642822
23,49.0,37.3776435852051
24,49.1,29.6399993896484
25,49.3,6.44908285140991
26,49.5,0.836681246757507
27,49.7,4.54759836196899
28,49.9,85.9213943481445
29,50.1,345.043151855469
30,50.2,36.0897827148438
31,50.4,1.1018340587616
32,50.7,1.68227076530457
33,50.9,74.7753677368164
34,51.1,750.679992675781
35,51.2,40.9586029052734
36,51.3,2.51650643348694
37,51.5,0.236331880092621
38,51.7,3.53572058677673
39,51.9,67.8857650756836
40,52.1,324.057464599609
41,52.2,49.8473358154297
42,52.4,1.61729252338409
43,52.7,0.361397385597229
44,52.9,54.476505279541
45,53.1,1308.43493652344
46,53.2,54.5428810119629
47,53.4,0.11912664026022
48,53.6,0.259912669658661
49,53.8,6.90672492980957
50,54.0,307.758422851563
51,54.1,1137.32507324219
52,54.3,6.37816572189331
53,54.9,0.969606995582581
54,55.1,13425.138671875
55,55.2,51.0227088928223
56,55.7,0.0525764189660549
57,55.9,21.3708305358887
58,56.1,6134.7822265625
59,56.2,122.822883605957
60,56.4,0.0965938866138458
61,56.6,0.178165942430496
62,56.9,13.1044540405273
63,57.1,33493.78125
64,57.2,137.756851196289
65,57.5,3.28069877624512
66,57.7,9.17641925811768
67,57.9,59.793888092041
68,58.1,1623.55285644531
69,58.2,95.9439315795898
70,58.4,1.60436677932739
71,58.6,3.04716157913208
72,58.8,13.952488899231
73,59.0,328.938354492188
74,59.1,295.118255615234
75,59.3,7.63720512390137
76,59.6,2.85484719276428
77,59.7,4.90655040740967
78,59.9,38.9744987487793
79,60.1,75.5830535888672
80,60.2,17.2574672698975
81,60.3,7.0193886756897
82,60.5,1.59650659561157
83,60.7,7.21764183044434
84,60.9,66.1958084106445
85,61.0,167.856597900391
86,61.2,17.9292583465576
87,61.3,5.16803503036499
88,61.6,3.38637542724609
89,61.8,21.2801742553711
90,62.0,87.0069885253906
91,62.1,42.2721405029297
92,62.2,23.4475116729736
93,62.4,3.24104809761047
94,62.7,5.97467231750488
95,62.9,90.3855056762695
96,63.0,329.656433105469
97,63.2,39.2876853942871
98,63.5,4.16227054595947
99,63.7,12.7963314056396
100,63.9,55.4389533996582
101,64.1,104.295372009277
102,64.2,39.593189239502
103,64.4,4.75283861160278
104,64.7,2.85834050178528
105,64.9,85.5470733642578
106,65.1,786.159118652344
107,65.2,50.247859954834
108,65.4,0.859388649463654
109,65.6,1.8337117433548
110,65.8,21.5994758605957
111,66.0,219.194229125977
112,66.1,241.772232055664
113,66.3,7.54742336273193
114,66.9,14.4136247634888
115,67.1,3890.82421875
116,67.2,40.2331886291504
117,67.8,4.11790370941162
118,68.0,397.048736572266
119,68.1,1752.07788085938
120,68.3,5.28820943832397
121,68.6,0.20908297598362
122,68.9,12.0688209533691
123,69.1,9008.353515625
124,69.2,99.5442810058594
125,69.5,0.313013106584549
126,69.7,1.78724884986877
127,69.9,31.6083850860596
128,70.1,4692.21435546875
129,70.2,150.601226806641
130,70.4,2.66951966285706
131,70.6,3.49344968795776
132,70.8,12.6574668884277
133,71.0,194.137115478516
134,71.1,20924.443359375
135,71.3,5.94602632522583
136,71.4,1.43493449687958
137,71.6,1.03965067863464
138,71.8,11.726113319397
139,71.9,21.7669868469238
140,72.1,1088.81799316406
141,72.2,63.962272644043
142,72.4,1.84436678886414
143,72.7,1.73624455928802
144,72.9,45.7489967346191
145,73.1,10406.9697265625
146,73.2,25.1021842956543
147,73.5,0.563668131828308
148,73.7,3.84262013435364
149,73.9,66.3706512451172
150,74.1,1013.78533935547
151,74.2,27.8679485321045
152,74.4,1.33344984054565
153,74.6,1.79999995231628
154,74.8,18.5806121826172
155,75.0,542.706359863281
156,75.1,321.727691650391
