#"+ Scan (rt: 0.088-65.997 min, 11533 scans) 041122_SP_3H_C.D "
#Point,X(Thompsons),Y(Counts)
0,50.1,7198.5390625
1,50.3,1.45443511009216
2,50.5,0.0219370499253273
3,50.9,0.369114726781845
4,51.1,8214.6650390625
5,51.2,4284.9765625
6,51.4,0.0917367562651634
7,51.8,0.0722275227308273
8,52.0,7.99098253250122
9,52.1,11373.5732421875
10,52.3,1.0560998916626
11,52.7,0.0306078214198351
12,52.9,0.348825097084045
13,53.1,6750.3544921875
14,53.2,10104.10546875
15,53.4,0.0432671457529068
16,53.7,0.0378912687301636
17,54.0,2.39009809494019
18,54.2,20864.69140625
19,54.3,0.954131603240967
20,54.8,0.0623428411781788
21,55.0,1.66539490222931
22,55.2,35821.98828125
23,55.3,1.0009537935257
24,55.5,0.0130061563104391
25,55.9,0.172461628913879
26,56.1,4151.193359375
27,56.2,19782.697265625
28,56.4,0.090002603828907
29,56.8,0.0143934795632958
30,57.0,0.917107403278351
31,57.2,19227.654296875
32,57.3,34.0515899658203
33,57.4,9.79918479919434
34,57.6,1.29680049419403
35,57.9,3.74013710021973
36,58.1,1438.18981933594
37,58.2,7066.70166015625
38,58.5,9.28067302703857
39,58.6,306.143157958984
40,58.9,7.98456621170044
41,59.1,4043.80297851563
42,59.2,6320.9833984375
43,59.4,0.103875838220119
44,59.8,0.0485563166439533
45,60.0,37.8622207641602
46,60.1,7533.79150390625
47,60.3,0.734587728977203
48,60.4,0.0668516457080841
49,60.8,0.140900030732155
50,60.9,0.54938006401062
51,61.1,3092.552734375
52,61.2,638.796508789063
53,61.5,0.0684990882873535
54,61.8,0.308332622051239
55,62.0,84.5853652954102
56,62.1,3108.62939453125
57,62.3,5.04465436935425
58,62.5,0.0416196994483471
59,62.9,0.6947021484375
60,63.1,6083.47314453125
61,63.2,1298.46228027344
62,63.4,0.0729211792349815
63,63.7,0.014566894620657
64,63.9,2.22864818572998
65,64.1,6436.04345703125
66,64.2,746.896301269531
67,64.4,0.23966009914875
68,64.8,0.129107773303986
69,65.0,9.49527454376221
70,65.1,12557.240234375
71,65.3,1.43700683116913
72,65.6,0.0449145920574665
73,65.8,0.0932974964380264
74,66.0,25.1016216278076
75,66.1,9523.8818359375
76,66.3,1.94684815406799
77,66.8,0.132662788033485
78,67.0,2.59993052482605
79,67.2,18149.69921875
80,67.3,1.37527096271515
81,67.8,0.0556663498282433
82,68.0,3.3613977432251
83,68.2,20057.142578125
84,68.3,1.82511055469513
85,68.5,0.0593080706894398
86,68.8,0.0856672152876854
87,69.0,1.54096937179565
88,69.2,23428.685546875
