#"+ Scan (rt: 4.977-55.031 min, 4985 scans) 080206GRSSPLT.D "
#Point,X(Thompsons),Y(Counts)
0,50.1,2973.93408203125
1,50.9,9.74142456054688
2,51.1,15098.9013671875
3,51.2,6.36810445785522
4,51.9,15.3079233169556
5,52.1,7566.6005859375
6,52.2,24.6543636322021
7,52.9,0.402206629514694
8,53.1,29946.857421875
9,53.2,6.06258773803711
10,54.1,32344.83984375
11,54.2,13.2906723022461
12,55.1,186467.15625
13,56.1,79903.90625
14,56.2,18.5949840545654
15,57.1,177036.546875
16,57.2,186.330596923828
17,57.9,123.526382446289
18,58.1,24539.9453125
19,58.2,131.857772827148
20,58.9,167.548248291016
21,59.1,8509.4248046875
22,59.2,23.6180534362793
23,59.9,31.9913749694824
24,60.0,9786.359375
25,60.2,5.64814424514771
26,60.9,100.045135498047
27,61.0,2351.21240234375
28,61.2,22.3628883361816
29,61.9,79.2421264648438
30,62.0,2997.06323242188
31,62.2,22.1652965545654
32,62.4,0.080842524766922
33,62.9,31.3079242706299
34,63.1,10448.345703125
35,63.2,6.49047136306763
36,63.9,137.789169311523
37,64.0,5873.5849609375
38,64.2,74.0487442016602
39,64.9,3.10952854156494
40,65.1,23962.087890625
41,65.2,15.0858573913574
42,65.9,16.7995986938477
43,66.1,12211.7880859375
44,66.2,20.2282848358154
45,67.1,94590.84375
46,67.2,2.93299889564514
47,68.1,54377.078125
48,68.2,15.8571710586548
49,69.1,140974.6875
50,69.2,2.3492476940155
51,70.1,79719.2265625
52,70.2,122.025276184082
53,71.1,122792.4765625
54,71.2,44.9424285888672
55,71.9,155.25537109375
56,72.1,11808.341796875
57,72.2,203.767700195313
58,72.9,7.48766279220581
59,73.0,15191.025390625
60,73.9,55.1899681091309
61,74.0,5029.3955078125
62,74.2,8.79739189147949
63,74.9,42.5426292419434
64,75.0,5431.9150390625
65,75.2,11.681845664978
66,75.9,84.6491470336914
67,76.1,6281.6591796875
68,76.2,58.0800399780273
69,77.1,51008.70703125
70,77.2,0.910130381584167
71,77.9,3.82748246192932
72,78.1,17892.41015625
73,78.2,2.80621862411499
74,79.1,64872.44140625
75,80.1,25159.203125
76,80.2,7.59739208221436
77,81.1,97079.09375
78,82.1,81138.375
79,82.2,1.58696091175079
80,83.1,121761.6875
81,83.2,13.2120361328125
82,83.9,0.393380135297775
83,84.1,51630.4609375
84,84.2,32.2988967895508
85,85.1,82606.2890625
86,85.2,37.0940818786621
87,85.9,66.6734237670898
88,86.1,9048.646484375
89,86.2,74.1424255371094
90,87.0,4735.9189453125
91,87.1,2170.10229492188
92,87.7,0.500902712345123
93,87.9,289.20703125
94,88.0,2765.42504882813
95,88.2,89.0122375488281
96,88.9,165.21484375
97,89.1,10748.3583984375
98,89.2,15.2639923095703
99,89.7,3.0110330581665
100,89.9,503.222473144531
101,90.1,2968.05322265625
102,90.2,1134.84094238281
103,91.1,75885.4296875
104,91.9,3.03931784629822
105,92.1,19683.810546875
106,92.2,19.7305927276611
107,93.1,45039.71484375
108,93.2,5.76088285446167
109,93.9,0.790972948074341
110,94.1,27977.615234375
111,94.2,86.5889663696289
112,95.1,84153.765625
113,96.1,68946.78125
114,96.9,14.9313945770264
115,97.1,114944.734375
116,97.9,3.86339020729065
117,98.1,38571.83203125
118,98.2,21.1333999633789
119,98.9,0.914744257926941
120,99.1,28048.748046875
121,99.2,44.5650939941406
122,99.9,58.6986961364746
123,100.1,5492.341796875
124,100.2,108.886054992676
125,100.5,0.0846539586782455
126,100.7,0.588365077972412
127,100.9,84.0633926391602
128,101.1,7349.36962890625
129,101.2,57.1622886657715
130,101.9,210.439926147461
131,102.1,7038.54443359375
132,102.2,351.959869384766
133,102.9,155.964294433594
134,103.1,15200.6357421875
135,103.2,36.0912742614746
136,103.9,102.67041015625
137,104.1,13565.7724609375
138,104.2,26.2339019775391
139,105.1,57357.25390625
140,105.2,1.86720156669617
141,105.9,2.16268801689148
142,106.1,26275.375
143,106.2,28.4168510437012
144,107.1,54309.2890625
145,107.2,3.8884654045105
146,107.9,1.71574723720551
147,108.1,25618.404296875
148,108.2,40.721565246582
149,109.1,53359.91796875
150,109.2,8.68244743347168
151,109.9,0.690872609615326
152,110.1,36176.51953125
153,110.2,14.8585758209229
154,111.1,65317.6875
155,111.2,20.5149440765381
156,111.9,2.6212637424469
157,112.1,25682.623046875
158,112.2,65.2284851074219
159,112.9,5.14543628692627
160,113.1,21569.669921875
161,113.2,78.1311950683594
162,113.7,0.321364104747772
163,113.9,83.9939804077148
164,114.1,6315.818359375
165,114.2,285.987152099609
166,114.9,7.58756256103516
167,115.1,44157.54296875
168,115.2,2.9987964630127
