#"+ Scan (rt: 0.088-65.997 min, 11533 scans) 101221_CH_48H_2.D "
#Point,X(Thompsons),Y(Counts)
0,50.1,6010.3330078125
1,50.3,2.09659242630005
2,51.0,12.3228998184204
3,51.1,10636.255859375
4,51.3,0.350819379091263
5,51.9,0.211133271455765
6,52.1,6106.1494140625
7,52.2,3196.11791992188
8,53.0,4.01595401763916
9,53.2,14301.83984375
10,53.3,0.617879152297974
11,53.9,0.084019772708416
12,54.1,7379.82421875
13,54.2,9299.154296875
14,55.0,1.30980658531189
15,55.2,31431.6015625
16,55.3,0.487904280424118
17,56.0,0.751582443714142
18,56.2,18530.154296875
19,56.3,1.29393911361694
20,57.0,0.999826610088348
21,57.2,15663.0029296875
22,57.3,28.2984485626221
23,57.5,4.22778129577637
24,57.8,2.83144021034241
25,58.0,22.4835681915283
26,58.2,4442.8642578125
27,58.3,73.3302688598633
28,58.5,12.1936187744141
29,58.6,183.145416259766
30,58.7,57.7940673828125
31,59.0,123.302612304688
32,59.1,5909.39404296875
33,59.3,8.5606517791748
34,59.9,0.14237405359745
35,60.1,5740.8447265625
36,60.2,929.518188476563
37,60.9,1.57782018184662
38,61.1,2301.51147460938
39,61.2,469.680053710938
40,61.4,0.0658978596329689
41,61.8,0.5971559882164
42,62.0,116.652908325195
43,62.1,2532.04370117188
44,62.3,5.59117317199707
45,62.5,0.028613543137908
46,62.8,0.0312147755175829
47,63.0,39.5061111450195
48,63.1,6209.86181640625
49,63.3,0.797364056110382
50,63.9,2.10803771018982
51,64.1,5633.6640625
52,64.2,644.786376953125
53,64.4,2.67900800704956
54,64.9,0.493106722831726
55,65.1,7361.861328125
56,65.2,3328.09887695313
57,65.5,0.102835342288017
58,65.9,2.89915895462036
59,66.1,5230.90673828125
60,66.2,2654.046875
61,66.4,0.101014479994774
62,67.0,2.12962794303894
63,67.2,19322.9765625
64,67.3,0.369634956121445
65,68.0,3.60730075836182
66,68.2,16677.11328125
67,68.3,0.449059218168259
68,69.0,2.12555265426636
69,69.2,19966.021484375
70,69.3,0.807248771190643
71,70.0,3.0261857509613
72,70.2,17488.41796875
73,70.3,3.39061832427979
74,70.9,0.283881038427353
75,71.1,1827.61608886719
76,71.2,7389.6982421875
77,71.4,5.39911556243896
78,71.6,0.8890141248703
79,71.8,2.99592471122742
80,72.0,40.9928016662598
81,72.1,2549.44580078125
82,72.2,2535.98950195313
83,72.4,0.748634338378906
84,72.6,3.34969210624695
85,72.8,0.640423119068146
86,73.0,28.9835262298584
87,73.1,9843.7421875
88,73.3,0.736928820610046
89,73.7,0.0432671457529068
90,73.9,0.864475846290588
91,74.1,2790.34204101563
92,74.2,611.231323242188
93,74.4,0.174282491207123
94,74.8,0.17272175848484
95,74.9,1.04413425922394
96,75.1,2939.74291992188
97,75.2,579.042419433594
98,75.5,0.116188332438469
99,75.8,0.196306258440018
100,76.0,113.674240112305
101,76.1,2947.69555664063
102,76.3,8.86109447479248
103,76.4,0.388103693723679
104,77.0,7.41420269012451
105,77.1,14089.9970703125
106,77.3,0.272088795900345
107,78.0,15.2413940429688
108,78.1,9193.751953125
109,78.3,0.460678040981293
110,79.1,10427.8525390625
111,79.2,5401.8232421875
112,79.8,0.0636434555053711
113,80.0,6.91762781143188
114,80.1,12809.525390625
115,80.3,0.468308329582214
116,80.6,0.0554062239825726
117,80.9,0.0534986555576324
118,81.1,9470.19921875
119,81.2,9326.9521484375
120,82.0,3.00303483009338
121,82.2,15550.822265625
122,82.3,1.68594467639923
123,82.5,0.0632099211215973
124,82.8,0.0350299142301083
125,83.0,2.97338080406189
126,83.2,13075.9970703125
127,83.3,4.87436056137085
128,83.8,0.0984132513403893
129,84.0,7.60981512069702
130,84.1,14328.5927734375
131,84.3,1.01881551742554
132,84.4,0.107084020972252
133,84.8,0.10795109719038
134,85.0,11.7319002151489
135,85.2,7969.27685546875
136,85.3,11.2527532577515
137,85.5,0.091476634144783
138,85.8,0.159195348620415
139,86.0,46.854850769043
140,86.2,4377.2216796875
141,86.3,15.6334867477417
142,86.6,0.0762160792946815
143,86.8,0.354287683963776
144,87.0,102.146621704102
145,87.1,2433.330078125
146,87.2,774.328430175781
147,87.4,0.193705022335052
148,87.7,0.287175923585892
149,87.9,16.1477508544922
150,88.1,1057.02954101563
151,88.2,394.601226806641
152,88.4,2.25604796409607
153,88.6,0.0552328117191792
154,88.9,5.14246082305908
155,89.1,4812.18603515625
156,89.2,893.5947265625
157,89.4,0.282320290803909
158,89.6,0.12052371352911
159,89.8,1.8621346950531
160,90.0,102.17896270752
161,90.1,4369.84814453125
162,90.3,32.8656044006348
163,91.0,3.98621344566345
164,91.1,29980.904296875
165,91.3,0.321425467729568
166,91.8,0.169166743755341
167,92.0,24.5689754486084
168,92.2,12826.35546875
169,92.3,2.21486163139343
170,92.5,0.0169080030173063
171,92.9,0.500997126102448
172,93.1,5467.2373046875
173,93.2,4699.46044921875
174,93.4,0.0451747141778469
175,93.8,0.0727477669715881
176,94.0,10.559871673584
177,94.1,14564.095703125
178,94.3,1.87331998348236
179,94.4,0.214774996042252
180,94.9,0.259689599275589
181,95.1,8319.181640625
182,95.2,9461.7783203125
183,95.4,0.0571403801441193
184,95.7,0.0343362540006638
185,95.9,0.863782167434692
186,96.1,6292.548828125
187,96.2,7189.490234375
188,96.4,0.105349868535995
189,96.5,0.0892222300171852
190,96.8,0.213561087846756
191,97.0,19.6523017883301
192,97.2,11822.1474609375
193,97.3,3.28891015052795
194,97.6,0.0134396944195032
195,97.8,0.0806381702423096
196,98.0,8.31206130981445
197,98.1,9638.080078125
198,98.3,4.55475568771362
199,98.9,1.45530211925507
200,99.1,4412.82763671875
201,99.2,1870.50830078125
202,99.4,0.429896831512451
203,99.7,0.248591005802155
204,99.9,5.98421907424927
205,100.1,6867.9248046875
206,100.2,679.751403808594
207,100.4,0.761206984519958
208,100.5,0.294892907142639
209,100.7,0.137084886431694
210,100.9,4.1121997833252
211,101.1,2452.43017578125
212,101.2,632.244750976563
213,101.4,0.534119486808777
214,101.6,0.100060693919659
215,101.8,0.579380929470062
216,102.0,107.613372802734
217,102.1,3583.51440429688
218,102.3,9.56810855865479
