#"+ Scan (rt: 0.088-65.997 min, 11533 scans) 200122_SP_NACL_24H.D "
#Point,X(Thompsons),Y(Counts)
0,50.1,7389.76220703125
1,50.3,1.91979539394379
2,50.7,0.0157808028161526
3,50.9,0.318997651338577
4,51.1,8834.3173828125
5,51.2,4361.02197265625
6,51.5,0.035116620361805
7,51.8,0.0601751506328583
8,52.0,8.11618804931641
9,52.1,7469.13671875
10,52.2,5077.435546875
11,52.4,0.0195092335343361
12,52.6,0.0171681270003319
13,52.8,0.0682389661669731
14,53.0,2.45131373405457
15,53.2,19636.728515625
16,53.3,0.413942605257034
17,53.4,0.0648573637008667
18,53.9,0.383508205413818
19,54.1,8320.515625
20,54.2,16993.951171875
21,54.4,0.0437006838619709
22,55.0,1.78262376785278
23,55.2,44638.9609375
24,55.3,0.399549126625061
25,55.9,0.116795286536217
26,56.1,5207.45263671875
27,56.2,24251.111328125
28,56.3,1.34171509742737
29,56.8,0.0227174200117588
30,57.0,1.02471172809601
31,57.2,25224.224609375
32,57.3,24.6096420288086
33,57.5,17.0722274780273
34,57.8,11.177490234375
35,58.0,16.044828414917
36,58.2,6993.1396484375
37,58.3,36.9205741882324
38,58.5,7.53489971160889
39,58.6,322.244415283203
40,58.7,63.8042144775391
41,59.0,54.5181655883789
42,59.2,12438.669921875
43,59.3,2.76051330566406
44,59.6,0.0191624034196138
45,60.0,24.5647277832031
46,60.1,9473.146484375
47,60.2,1446.14306640625
48,60.6,0.0171681270003319
49,60.9,0.304083943367004
50,61.0,56.0872268676758
51,61.1,4941.53955078125
52,61.3,0.795022964477539
53,61.5,0.0496835187077522
54,61.8,0.136391222476959
55,62.0,82.4870376586914
56,62.1,2733.89477539063
57,62.2,534.214965820313
58,62.4,0.36651349067688
59,62.6,0.0409260392189026
60,62.9,0.430850595235825
61,63.1,6359.97314453125
62,63.2,1188.64904785156
63,63.6,0.0148270176723599
64,63.8,0.131969138979912
65,64.0,152.882431030273
66,64.1,7732.09814453125
67,64.3,6.03667736053467
68,64.5,0.013092864304781
69,64.7,0.0157808028161526
70,64.9,0.519899427890778
71,65.1,8212.7060546875
72,65.2,5302.47021484375
73,65.3,0.776033997535706
74,65.5,0.0450880080461502
