#"+ Scan (rt: 0.088-65.997 min, 11533 scans) 241121_CH_3H.D "
#Point,X(Thompsons),Y(Counts)
0,50.1,9922.5908203125
1,50.3,1.09693920612335
2,50.9,0.131275475025177
3,51.1,9453.326171875
4,51.2,8473.890625
5,51.8,0.023584496229887
6,52.0,3.84097814559937
7,52.2,15454.3974609375
8,52.3,1.16231679916382
9,52.5,0.0273996349424124
10,52.9,0.134396940469742
11,53.1,5347.166015625
12,53.2,19097.2734375
13,53.3,1.55241477489471
14,53.9,0.0468221642076969
15,54.1,4013.09350585938
16,54.2,25336.25390625
17,54.4,0.0530651174485683
18,55.0,1.0268794298172
19,55.2,56477.734375
20,55.3,0.748460948467255
21,56.0,1.18815577030182
22,56.2,31797.322265625
23,56.3,0.940778613090515
24,56.8,0.0157808028161526
25,57.0,1.47732591629028
26,57.2,28933.4765625
27,57.4,35.8566703796387
28,57.5,1.35055923461914
29,57.7,26.8716716766357
30,57.8,7.01309299468994
31,58.1,1296.10363769531
32,58.2,5287.5673828125
33,58.5,21.4566020965576
34,58.6,546.562133789063
35,58.9,13.2516260147095
36,59.1,4427.4287109375
37,59.2,6512.41845703125
38,59.5,0.0616491809487343
39,59.9,0.368421047925949
40,60.1,11229.646484375
41,60.2,2037.70385742188
42,60.4,0.0363305285573006
43,60.8,0.0341628380119801
44,61.0,43.9691314697266
45,61.1,5253.10205078125
46,61.3,0.721321403980255
47,61.5,0.0479493625462055
48,61.6,0.0453481301665306
49,61.9,1.8893609046936
50,62.1,3829.2705078125
51,62.2,766.047485351563
52,62.5,0.129628017544746
53,62.8,0.124512270092964
54,63.0,16.9683513641357
55,63.1,10901.1875
56,63.3,0.791381239891052
57,63.5,0.0464753322303295
58,63.8,0.097546175122261
59,63.9,0.523974657058716
60,64.1,10420.4326171875
61,64.2,933.981628417969
62,64.4,2.12694001197815
63,64.6,0.0144801875576377
64,64.9,0.491632699966431
65,65.1,8476.7138671875
66,65.2,11249.7841796875
67,65.4,0.0212433878332376
68,65.9,0.390618234872818
69,66.1,6707.78955078125
70,66.2,7498.7919921875
71,66.4,0.0593947805464268
72,67.1,5081.01123046875
73,67.2,32910.71484375
74,67.9,0.184167176485062
75,68.1,4521.359375
76,68.2,26143.50390625
77,68.5,0.0150004336610436
78,68.9,0.240440472960472
79,69.1,4086.3349609375
80,69.2,32926.09375
81,69.4,0.0636434555053711
82,69.8,0.0410994552075863
83,70.0,1.49371373653412
84,70.2,30243.21484375
85,70.3,1.57599925994873
86,70.5,0.0445677638053894
87,70.8,0.140293076634407
88,71.0,1.30876612663269
89,71.1,1435.98999023438
90,71.2,15296.0107421875
91,71.4,0.216595858335495
92,71.6,0.0273996349424124
93,71.7,0.0330356359481812
94,71.9,4.12494564056396
95,72.1,2344.51440429688
96,72.2,7275.228515625
97,72.5,2.12277817726135
98,72.6,1.05627334117889
99,72.9,3.29775428771973
100,73.1,14156.197265625
101,73.2,4774.21484375
102,73.8,0.142027229070663
103,74.0,20.8838119506836
104,74.1,4882.66943359375
105,74.2,1119.07092285156
106,74.8,0.192924648523331
107,75.0,23.8707180023193
108,75.1,6209.77734375
109,75.3,0.582849204540253
110,75.6,0.0264458507299423
111,75.8,0.165438309311867
112,76.0,47.0394515991211
113,76.1,5218.232421875
114,76.3,3.95551896095276
115,76.5,0.0211566817015409
116,76.9,0.111679531633854
117,77.1,18860.9453125
118,77.2,6661.9189453125
119,78.0,5.54227018356323
120,78.1,15820.82421875
121,78.3,0.284834831953049
122,79.1,11527.9990234375
123,79.2,18122.974609375
124,79.8,0.0658111497759819
125,80.0,3.4416024684906
126,80.2,24317.724609375
127,80.3,1.61415064334869
128,80.4,0.171681255102158
129,80.6,0.0339027121663094
130,80.9,0.224312841892242
131,81.1,8744.8818359375
132,81.2,28378.705078125
133,81.4,0.0376311466097832
134,81.9,0.488771349191666
135,82.1,4791.86767578125
136,82.2,24815.943359375
137,82.4,0.165785133838654
138,82.8,0.155033379793167
139,83.0,1.54703891277313
140,83.2,24490.2109375
141,83.3,5.3281888961792
142,83.9,0.569756329059601
143,84.1,9566.9619140625
144,84.2,15797.4990234375
145,84.4,0.135957688093185
146,84.6,0.0141333565115929
147,84.8,0.127807155251503
148,85.0,2.16855978965759
149,85.2,14018.5634765625
150,85.3,7.73900985717773
151,85.5,0.0359837003052235
152,85.8,0.115234546363354
153,86.0,17.2821464538574
154,86.2,8003.98583984375
155,86.3,10.3816871643066
156,86.6,0.0318217277526855
157,86.8,0.175322979688644
158,87.0,42.0742225646973
159,87.1,5769.173828125
160,87.3,3.04803609848022
161,87.5,0.0407526232302189
162,87.7,0.0988467857241631
163,87.9,9.22353267669678
164,88.1,1738.79858398438
165,88.2,748.005432128906
166,88.4,0.960808098316193
167,88.7,0.128153994679451
168,88.9,2.97962379455566
169,89.1,8294.724609375
170,89.2,1969.74768066406
171,89.4,0.283013969659805
172,89.7,0.307899057865143
173,89.9,7.00806379318237
174,90.1,5983.64599609375
175,90.2,2513.67333984375
176,90.4,0.386542975902557
177,91.0,4.02774667739868
178,91.2,53193.3046875
179,91.3,0.936096429824829
180,91.8,0.0350299142301083
181,92.0,10.0683259963989
182,92.2,22980.326171875
183,92.3,2.39235234260559
184,92.4,0.190496832132339
185,92.8,0.0994537398219109
