#"+ Scan (rt: 0.088-65.997 min, 11533 scans) 241121_SP_3H.D "
#Point,X(Thompsons),Y(Counts)
0,50.1,17585.3203125
1,50.3,0.68923956155777
2,51.0,1.9141594171524
3,51.2,32247.76953125
4,51.3,0.450273126363754
5,51.7,0.0208965577185154
6,52.0,1.77525365352631
7,52.2,29474.82421875
8,52.3,0.438134044408798
9,52.5,0.0210699737071991
10,52.9,0.169860407710075
11,53.1,3473.93383789063
12,53.2,43032.6015625
13,53.8,0.0267059747129679
14,54.0,1.75401020050049
15,54.2,56054.33203125
16,54.3,1.45920407772064
17,55.0,0.729298532009125
18,55.2,100908.5625
19,55.3,0.182172894477844
20,56.1,1913.9072265625
21,56.2,63703.49609375
22,56.4,0.0240180343389511
23,56.9,0.0767363235354424
24,57.1,251.946594238281
25,57.2,60290.70703125
26,57.4,8.55016040802002
27,57.6,24.9071369171143
28,57.7,54.1257247924805
29,57.8,16.056619644165
30,58.1,1542.92175292969
31,58.2,14441.826171875
32,58.4,6.05956840515137
33,58.6,334.365997314453
34,58.7,727.563110351563
35,59.0,43.9591598510742
36,59.2,28894.759765625
37,59.3,22.0350303649902
38,59.6,0.0150871416553855
39,59.8,0.101968266069889
40,60.0,1.56333994865417
41,60.1,27862.45703125
42,60.3,0.300789028406143
43,60.5,0.0306078214198351
44,60.7,0.0303476974368095
45,60.9,0.15962889790535
46,61.0,13.3845491409302
47,61.1,11971.7265625
48,61.3,0.151998609304428
49,61.5,0.0133529873564839
50,61.7,0.0139599414542317
51,61.9,1.07014656066895
52,62.1,6580.44921875
53,62.2,1697.00732421875
54,62.3,2.07951092720032
55,62.5,0.104222662746906
56,62.9,0.493193447589874
57,63.1,12920.7646484375
58,63.2,6196.56640625
59,63.5,0.0164744649082422
60,63.8,0.154859960079193
61,64.0,37.5936889648438
62,64.1,17969.515625
63,64.3,6.07352828979492
64,64.5,0.0234110821038485
65,64.7,0.044134221971035
66,64.8,0.0463886223733425
67,65.0,3.3618311882019
68,65.2,35441.39453125
69,65.3,0.634873867034912
70,65.8,0.0679788440465927
71,66.0,22.505765914917
72,66.2,27795.130859375
73,66.3,0.672418296337128
74,66.5,0.0134396944195032
75,67.0,1.46388626098633
76,67.2,56839.1796875
77,67.3,0.878435790538788
78,68.0,1.83959078788757
79,68.2,59735.18359375
80,68.3,0.924737691879272
81,69.0,2.02150344848633
82,69.2,72324.953125
83,69.3,1.2511922121048
84,69.7,0.0176883731037378
85,69.9,0.253966867923737
86,70.1,2392.392578125
87,70.2,58609.48828125
88,70.4,0.175062865018845
89,70.8,0.0659845694899559
90,71.0,1.12017691135406
91,71.2,32703.615234375
92,71.3,23.0888748168945
93,71.5,2.97580862045288
94,71.6,0.144455045461655
95,71.9,0.192057579755783
96,72.1,2745.66137695313
97,72.2,20274.9921875
98,72.4,2.01976943016052
99,72.7,0.106216944754124
100,73.0,16.5917797088623
101,73.1,36084.9921875
102,73.3,0.757998764514923
103,73.7,0.0144801875576377
104,73.9,0.603832483291626
105,74.1,9814.6552734375
106,74.2,2658.20068359375
107,74.5,0.0273996349424124
108,74.9,0.400502890348434
109,75.1,10178.810546875
110,75.2,1940.720703125
111,75.4,0.106737188994884
112,75.8,0.0673718899488449
113,76.0,40.9575119018555
114,76.1,9234.771484375
115,76.3,2.81002330780029
116,77.0,3.18191266059875
117,77.2,42079.83984375
118,77.3,0.680135250091553
119,78.0,2.88450527191162
120,78.2,26855.904296875
121,78.3,0.930893957614899
122,78.9,0.165264889597893
123,79.1,13134.75390625
124,79.2,30654.052734375
125,79.7,0.0614757649600506
126,79.9,0.148010060191154
127,80.1,5708.08544921875
128,80.2,38369.54296875
129,80.4,0.0274863429367542
130,81.0,3.25812888145447
131,81.2,59169.3125
132,81.3,0.549813568592072
133,81.8,0.0251452345401049
134,82.0,2.82606434822083
135,82.2,53675.734375
136,82.3,0.774039685726166
137,82.8,0.100754357874393
138,83.0,2.2481575012207
139,83.2,47013.12890625
140,83.3,2.47619867324829
141,83.6,0.0152605567127466
142,83.7,0.042660191655159
143,84.0,2.08115839958191
144,84.2,62623.203125
145,84.3,1.04569494724274
146,84.5,0.0207231417298317
147,84.9,0.419318467378616
148,85.1,5873.3583984375
149,85.2,23930.2890625
150,85.3,2.26775336265564
151,85.5,0.0788173079490662
152,85.8,0.055839765816927
153,86.0,5.5249285697937
154,86.1,3278.9521484375
155,86.2,16221.509765625
156,86.4,0.12243128567934
157,86.6,0.0589612424373627
158,86.8,0.013092864304781
159,87.0,12.8623952865601
160,87.1,7273.61279296875
161,87.2,4926.69580078125
162,87.4,0.12407872825861
163,87.7,0.118095897138119
164,87.8,0.246076479554176
165,88.0,67.9166717529297
166,88.1,4961.0615234375
167,88.3,6.88910102844238
168,88.6,0.138472214341164
169,88.7,0.0136998174712062
170,88.9,1.81574606895447
171,89.1,10074.142578125
172,89.2,8482.26953125
173,89.5,0.266279369592667
174,89.6,0.0206364337354898
175,89.8,0.352900385856628
176,90.0,41.8630027770996
177,90.2,15660.283203125
178,90.3,16.3187370300293
179,91.0,2.60400581359863
180,91.2,85038.75
181,91.3,1.34206187725067
182,91.8,0.0477759465575218
183,92.0,6.77629423141479
184,92.2,39117.12890625
185,92.3,1.42859625816345
186,92.6,0.0169947110116482
187,93.0,3.84834814071655
188,93.2,32699.62109375
189,93.3,2.36339211463928
190,93.6,0.0477759465575218
191,93.8,0.0443076379597187
192,94.0,3.56281971931458
193,94.2,61745.59375
194,94.3,1.53871500492096
195,94.9,0.333044320344925
196,95.1,9298.4580078125
197,95.2,51525.54296875
198,95.4,0.188502565026283
199,95.8,0.0560131780803204
200,96.0,4.21364784240723
201,96.2,46896.44921875
202,96.3,1.89430332183838
203,96.4,0.201335296034813
204,96.7,0.0233243741095066
205,96.9,0.481227785348892
206,97.1,9881.7421875
207,97.2,39293.71484375
208,97.4,0.222491979598999
209,97.8,0.0955518931150436
210,98.0,2.94407343864441
211,98.2,49813.61328125
212,98.3,2.61553812026978
213,98.6,0.0519379191100597
214,98.9,0.668082892894745
215,99.1,14986.580078125
216,99.2,14873.5087890625
217,99.4,0.222925513982773
218,99.7,0.133876696228981
219,99.8,0.168819904327393
220,100.0,24.6940956115723
221,100.1,35926.63671875
222,100.3,3.91944861412048
223,100.6,0.0476025305688381
224,100.8,0.283620923757553
225,100.9,1.47923350334167
226,101.1,9668.1982421875
227,101.2,3293.90649414063
228,101.4,0.337466388940811
229,101.6,0.293852418661118
230,101.8,0.470562726259232
231,102.0,33.209831237793
232,102.1,11512.4755859375
233,102.3,2.15616059303284
234,102.4,0.269400835037231
235,102.7,0.201942250132561
236,102.9,1.777508020401
237,103.1,10556.2177734375
238,103.2,6541.869140625
239,103.4,0.245903059840202
240,103.8,0.265412300825119
241,104.0,20.134916305542
242,104.1,8541.310546875
243,104.2,11725.65234375
244,104.4,0.311714202165604
245,104.7,0.0374577306210995
246,104.9,1.24416887760162
247,105.1,9697.66015625
248,105.2,15621.630859375
249,105.5,0.12598629295826
250,105.7,0.0204630196094513
251,105.9,1.23159623146057
252,106.1,5981.94873046875
253,106.2,18816.552734375
254,106.4,0.446111172437668
255,106.5,0.112546607851982
256,106.7,0.0228908341377974
257,106.9,0.96314924955368
258,107.1,17439.076171875
259,107.2,40853.17578125
260,107.4,0.184687420725822
261,107.7,0.0834995210170746
262,107.9,1.00520241260529
263,108.1,6008.48828125
264,108.2,45419.8125
265,108.4,0.271828651428223
266,108.6,0.0218503419309855
267,108.8,0.220671117305756
268,109.0,5.8894476890564
269,109.2,47471.9921875
270,109.3,5.05306529998779
271,109.5,0.0871412456035614
