#"+ Scan (rt: 0.088-69.529 min, 11307 scans) BARLEYSTAR_400_20231023.D "
#Point,X(Thompsons),Y(Counts)
0,10.1,2.51870512962341
1,10.3,4.81206321716309
2,10.5,5.08631801605225
3,10.7,4.78517723083496
4,10.9,4.87087631225586
5,11.1,4.64358377456665
6,11.2,2.51773238182068
7,11.4,5.03475713729858
8,11.5,2.14539670944214
9,11.7,3.75448846817017
10,11.9,10.7031927108765
11,12.1,101.236846923828
12,12.2,64.4218597412109
13,12.4,6.64756345748901
14,12.6,2.13133454322815
15,12.8,6.19271230697632
16,13.0,17.2849559783936
17,13.1,27.5902538299561
18,13.3,3.11444234848022
19,14.2,8304.3271484375
20,15.0,42.0698699951172
21,15.2,329.345458984375
22,15.3,37.3991317749023
23,15.5,0.0400636792182922
24,16.0,0.339435756206512
25,16.1,4915.91259765625
26,17.1,10491.01953125
27,18.1,43815.46484375
28,18.9,5.8553991317749
29,19.1,70.0531539916992
30,19.2,32.9146537780762
31,19.3,16.4927921295166
32,19.5,1.24913775920868
33,19.8,1.10542142391205
34,20.0,85.9437484741211
35,20.1,319.869384765625
36,20.3,12.1271781921387
37,20.5,0.359777122735977
38,20.7,1.24621915817261
39,20.8,1.58008313179016
40,21.0,3.99867343902588
41,21.1,2.25851249694824
42,21.3,4.19430446624756
43,21.5,3.65260457992554
44,21.7,3.92898201942444
45,21.8,3.14044404029846
46,22.0,18.0256481170654
47,22.1,40.1162109375
48,22.3,7.82338380813599
49,22.6,3.49491477012634
50,22.8,3.92739009857178
51,23.0,3.83054733276367
52,23.2,4.38489437103271
53,23.3,2.40895009040833
54,23.5,4.28566360473633
55,23.6,2.08207297325134
56,23.8,5.38056087493896
57,24.0,9.6547269821167
58,24.1,13.694525718689
59,24.3,6.85796403884888
60,24.6,4.25117206573486
61,24.8,6.10489082336426
62,25.0,20.358715057373
63,25.1,33.765453338623
64,25.3,13.6130714416504
65,25.5,3.36667561531067
66,25.7,1.34076237678528
67,25.9,12.1849298477173
68,26.1,171.198455810547
69,26.2,123.271781921387
70,26.4,11.8175468444824
71,26.6,1.36331474781036
72,26.8,0.417086750268936
73,27.0,1.12708938121796
74,27.2,67.5974197387695
75,28.1,309242.15625
76,29.0,27.0350227355957
77,29.1,2850.259765625
78,29.8,1.14911115169525
79,30.0,58.7868576049805
80,30.1,155.700012207031
81,30.3,21.9691333770752
82,30.5,1.84001064300537
83,30.7,3.89926600456238
84,30.9,8.31538009643555
85,31.0,7.4509596824646
86,31.2,0.190501466393471
87,32.1,82594.40625
88,33.0,35.0359077453613
89,33.1,52.2112846374512
90,33.3,12.3524370193481
91,33.5,0.890068113803864
92,33.7,0.450517386198044
93,33.9,16.9635620117188
94,34.1,319.912261962891
95,34.2,88.3808288574219
96,34.4,0.496152818202972
97,34.7,1.36809051036835
98,34.9,15.6011323928833
99,35.1,30.7065544128418
100,35.2,16.2402935028076
101,35.4,2.88785719871521
102,35.7,1.3657910823822
103,35.9,28.536039352417
104,36.1,219.762710571289
105,36.2,50.5642509460449
106,36.4,0.726452648639679
107,36.6,0.970018565654755
108,36.8,5.81966924667358
109,37.0,39.7413101196289
110,37.1,41.2247276306152
111,37.2,33.8876800537109
112,37.4,4.3671178817749
113,37.6,1.03077733516693
114,37.8,5.98646879196167
115,38.0,86.5960006713867
116,38.1,111.839836120605
117,38.2,64.8023376464844
118,38.4,2.78446984291077
119,38.7,0.662421524524689
120,38.9,11.4792604446411
121,39.1,395.345275878906
122,39.2,178.426544189453
123,40.1,7399.94970703125
124,40.8,0.810206055641174
125,41.0,82.2244644165039
126,41.1,469.224029541016
127,41.3,23.8542499542236
128,41.5,0.624745726585388
129,41.8,2.47749185562134
130,42.0,81.6220016479492
131,42.1,260.208190917969
132,42.3,23.1471652984619
133,42.5,1.32811534404755
134,42.7,0.196250110864639
135,42.9,9.13124656677246
136,43.1,433.226135253906
137,43.2,215.661712646484
138,43.4,0.136198818683624
139,44.1,18026.96484375
140,44.2,34.0363502502441
141,44.8,1.50853455066681
142,45.0,151.149993896484
143,45.1,361.176513671875
144,45.3,10.1315116882324
145,45.5,1.1273547410965
146,45.8,6.66905450820923
147,46.0,51.2741661071777
148,46.1,55.9530372619629
149,46.2,27.5883083343506
150,46.4,2.71893525123596
151,46.6,1.94410538673401
152,46.8,8.74635219573975
153,47.0,100.570793151855
154,47.1,112.107894897461
155,47.3,10.1583976745605
156,47.6,1.89617049694061
157,47.8,11.047492980957
158,48.0,151.029190063477
159,48.1,409.501800537109
160,48.3,5.96471214294434
161,48.4,2.5185284614563
162,48.6,1.02520561218262
163,48.8,6.86008644104004
164,48.9,12.2750511169434
165,49.1,47.2348976135254
166,49.2,22.2469272613525
167,49.4,3.26337671279907
168,49.7,2.50048637390137
169,49.9,26.0333423614502
170,50.1,188.307769775391
171,50.2,60.0246734619141
172,50.4,3.00265312194824
173,50.6,0.542142033576965
174,50.8,5.84708595275879
175,51.0,86.4490127563477
176,51.1,181.81559753418
177,51.3,17.5143718719482
178,51.5,0.861059546470642
179,51.7,2.35234808921814
180,51.9,20.5705318450928
181,52.1,89.6243057250977
182,52.2,34.9086418151855
183,52.3,16.9396839141846
184,52.5,1.07322895526886
185,52.7,2.33925890922546
186,52.9,20.4610424041748
187,53.1,117.989387512207
188,53.2,55.9051933288574
189,53.4,3.07287526130676
190,53.5,2.11691880226135
191,53.8,5.94720077514648
192,54.0,44.0568656921387
193,54.1,74.0503234863281
194,54.3,17.0013275146484
195,54.5,1.5307332277298
196,54.8,2.6602988243103
197,55.0,93.005744934082
198,55.1,324.262573242188
199,55.3,22.400016784668
200,55.4,2.61616706848145
201,55.7,1.25585925579071
202,55.9,16.4654636383057
203,56.1,127.390556335449
204,56.2,81.3442993164063
205,56.4,5.80038928985596
206,56.6,0.803838312625885
207,56.8,3.40169811248779
208,57.0,62.2739906311035
209,57.1,160.645004272461
210,57.3,35.497745513916
211,57.5,1.80702221393585
212,57.7,3.08269214630127
213,57.9,14.8325815200806
214,58.0,22.0459899902344
215,58.1,67.7822570800781
216,58.3,12.7613868713379
217,58.5,1.67232692241669
218,58.7,3.32484292984009
219,58.8,5.09604692459106
220,59.0,42.7980003356934
221,59.1,60.9163360595703
222,59.3,10.1479616165161
223,59.4,4.25170230865479
224,59.7,2.34102773666382
225,59.9,29.3054752349854
226,60.0,66.3565902709961
227,60.1,112.910232543945
228,60.3,11.9763860702515
229,60.6,1.7869461774826
230,60.8,7.45272827148438
231,61.0,45.3221893310547
232,61.1,34.3707427978516
233,61.2,30.1354026794434
234,61.4,3.30423641204834
235,61.6,0.772176504135132
236,61.8,7.43928527832031
237,62.0,38.120719909668
238,62.1,54.2326889038086
239,62.3,9.92199516296387
240,62.5,1.03661453723907
241,62.7,2.78721141815186
242,62.9,25.5848598480225
243,63.1,129.660568237305
244,63.2,51.6832046508789
245,63.4,2.4154064655304
246,63.6,2.02025294303894
247,63.8,12.4623680114746
248,64.0,1055.47961425781
249,64.1,214.599090576172
250,64.3,6.12823915481567
251,64.4,1.7217652797699
252,64.7,1.93871057033539
253,64.9,22.8607063293457
254,65.1,304.357818603516
255,65.2,106.105949401855
256,65.4,2.88263916969299
257,65.5,2.12098693847656
258,65.8,7.41160345077515
259,66.0,95.858757019043
260,66.1,381.942779541016
261,66.3,14.1591930389404
262,66.5,1.6121871471405
263,66.8,5.04227447509766
264,67.0,73.2919464111328
265,67.1,143.548782348633
266,67.3,19.9532146453857
267,67.4,4.59520673751831
268,67.6,0.846201479434967
269,67.8,6.97780132293701
270,68.0,47.6832046508789
