#"+ Scan (rt: 4.980-38.001 min, 5725 scans) CARNAUBA181018_4.D "
#Point,X(Thompsons),Y(Counts)
0,45.1,2309.98828125
1,45.3,1.25921392440796
2,45.5,0.0270742364227772
3,45.7,1.26148474216461
4,45.9,42.5273361206055
5,46.1,227.544799804688
6,46.2,61.6634063720703
7,46.4,4.92244529724121
8,46.7,4.87353706359863
9,46.9,59.3524894714355
10,47.1,369.987060546875
11,47.2,49.1219215393066
12,47.4,2.2181658744812
13,47.6,1.03353714942932
14,47.8,13.1512660980225
15,48.0,35.5194778442383
16,48.1,35.3498687744141
17,48.3,6.7089958190918
18,48.4,4.5462007522583
19,48.7,4.58427953720093
20,48.9,43.2698707580566
21,49.1,161.852233886719
22,49.2,47.899040222168
23,49.4,2.80786037445068
24,49.5,0.821484744548798
25,49.7,0.322620093822479
26,49.9,28.7538871765137
27,50.1,1293.02758789063
28,50.2,135.167678833008
29,50.4,0.339737981557846
30,51.0,301.040008544922
31,51.1,2393.60888671875
32,51.3,3.04209613800049
33,51.8,0.909519672393799
34,52.0,226.629165649414
35,52.1,1105.20947265625
36,52.3,16.4469871520996
37,52.5,0.0532751083374023
38,52.8,0.489082962274551
39,53.0,158.411697387695
40,53.1,7112.216796875
41,53.3,2.03441047668457
42,54.0,51.5710029602051
43,54.1,14726.982421875
44,54.3,4.20646286010742
45,55.0,1.83179044723511
46,55.1,81281.5
47,56.0,13.2027950286865
48,56.2,33711.05859375
49,56.3,1.20489084720612
50,57.0,7.51510906219482
51,57.2,71535.2890625
52,57.3,0.759126663208008
53,57.8,3.10375547409058
54,58.0,160.349166870117
55,58.2,3892.66870117188
56,58.3,17.7121391296387
57,58.5,0.6340611577034
58,58.8,3.10794758796692
59,59.0,243.939910888672
60,59.1,1549.27819824219
61,59.2,302.789337158203
62,59.4,1.54165935516357
63,59.6,0.0986899584531784
64,59.8,1.1388646364212
65,60.0,372.215881347656
66,60.1,2544.48168945313
67,60.3,3.00663757324219
68,60.8,4.63912677764893
69,61.0,328.035980224609
70,61.1,1048.29260253906
71,61.3,5.99406099319458
72,61.6,0.535895168781281
73,61.8,10.6655025482178
74,62.0,202.526992797852
75,62.1,576.746215820313
76,62.3,12.0020961761475
77,62.5,0.881222724914551
78,62.7,0.96611350774765
79,62.9,44.745677947998
80,63.1,1577.04125976563
81,63.2,129.089263916016
82,63.4,0.953013122081757
83,63.7,4.06253290176392
84,63.9,65.5540618896484
85,64.1,435.23388671875
86,64.2,103.183753967285
87,64.4,3.51510906219482
88,64.6,0.0932751074433327
89,64.8,0.772751092910767
90,65.0,281.588470458984
91,65.1,3497.90209960938
92,65.3,4.04681205749512
93,65.6,0.278951972723007
94,65.8,3.84820961952209
95,66.0,250.886459350586
96,66.1,2466.3349609375
97,66.3,19.0965938568115
98,67.0,51.4131011962891
99,67.1,24129.349609375
100,68.0,55.5568542480469
101,68.1,18737.34375
102,68.3,3.17432308197021
103,69.0,12.2981662750244
104,69.1,53467.30859375
105,70.0,41.0455894470215
106,70.2,27432.56640625
107,70.3,2.70462870597839
108,70.9,1.52855896949768
109,71.1,8001.1318359375
110,71.2,28767.935546875
111,71.5,0.0483842790126801
112,71.8,2.71685600280762
113,72.0,115.386024475098
114,72.2,2123.46435546875
115,72.3,22.6908302307129
116,72.4,2.26707434654236
117,73.0,184.110565185547
118,73.1,25654.37109375
119,73.3,2.19598245620728
120,73.6,0.0691703036427498
121,73.8,3.13362455368042
122,74.0,323.780609130859
123,74.1,2645.69140625
124,74.3,4.48698711395264
125,74.5,0.33030566573143
126,74.7,0.666026175022125
127,74.9,28.6492576599121
128,75.1,2221.35717773438
129,75.2,119.65274810791
130,75.4,0.892576396465302
131,75.7,2.64820957183838
132,75.9,69.3696060180664
133,76.1,391.865661621094
134,76.2,130.109176635742
135,76.4,1.19982528686523
136,77.0,493.316162109375
137,77.1,4222.3486328125
138,77.3,0.224978163838387
139,77.9,10.9465503692627
140,78.1,2063.1767578125
141,78.2,371.430908203125
142,78.4,0.207336246967316
143,79.0,361.740600585938
144,79.1,7268.4130859375
145,79.3,0.442445427179337
146,79.8,1.27703058719635
147,80.0,205.930480957031
148,80.1,2781.75341796875
149,80.3,18.0932750701904
150,80.4,0.898689985275269
151,81.0,79.3168563842773
