#"+ Scan (rt: 0.088-70.002 min, 11384 scans) CELLULOSE_20231016.D "
#Point,X(Thompsons),Y(Counts)
0,10.2,4.61296558380127
1,10.3,2.33503150939941
2,10.5,4.89432525634766
3,10.7,4.8714861869812
4,10.8,2.25245952606201
5,11.0,5.1701512336731
6,11.2,5.19703102111816
7,11.4,5.21960639953613
8,11.5,3.32431483268738
9,11.8,2.70476102828979
10,12.0,35.4518623352051
11,12.2,626.467590332031
12,12.3,19.7329578399658
13,12.5,2.86603999137878
14,12.8,3.87842583656311
15,13.0,24.5987358093262
16,13.2,414.308410644531
17,13.3,19.3088550567627
18,14.2,11007.603515625
19,15.0,4.72426223754883
20,15.2,6067.37451171875
21,15.3,29.9368419647217
22,16.2,6575.25439453125
23,17.2,16552.69140625
24,18.2,70022.4921875
25,19.0,28.9693431854248
26,19.2,3847.53295898438
27,19.3,20.0337314605713
28,19.5,0.516426563262939
29,19.8,0.137737169861794
30,20.0,56.3179893493652
31,20.1,632.135375976563
32,20.3,10.8448696136475
33,20.5,0.0117709068581462
34,20.7,0.480586796998978
35,20.9,4.44992971420288
36,21.1,10.8108749389648
37,21.2,9.96398448944092
38,21.4,2.35839772224426
39,21.6,3.32888269424438
40,21.8,5.05332040786743
41,22.0,27.7247009277344
42,22.1,82.0905685424805
43,22.3,12.5203790664673
44,22.6,3.32774066925049
45,22.8,3.8769326210022
46,23.0,4.47962045669556
47,23.2,4.22013330459595
48,23.3,1.99174284934998
49,23.5,3.73251938819885
50,23.7,3.29892826080322
51,23.9,11.318341255188
52,24.1,108.888877868652
53,24.2,172.90380859375
54,24.3,15.5038652420044
55,24.5,2.53742098808289
56,24.8,3.11252641677856
57,25.0,44.3991584777832
58,25.2,1131.46105957031
59,25.3,33.0629844665527
60,25.5,0.935347855091095
61,25.8,0.1773541867733
62,26.0,25.5537605285645
63,26.2,6552.65087890625
64,26.3,20.9476451873779
65,26.5,0.212930426001549
66,27.2,14956.4599609375
67,27.3,8.57211875915527
68,28.1,383545.84375
69,29.2,52474.23828125
70,29.8,0.0295151080936193
71,30.0,37.9444847106934
72,30.2,7883.70556640625
73,30.3,9.8168478012085
74,30.6,0.230762466788292
75,30.8,0.159170761704445
76,31.0,5.44044256210327
77,31.2,23237.0859375
78,31.3,9.67041492462158
79,32.1,96460.75
80,32.9,8.13308143615723
81,33.1,255.438598632813
82,33.2,141.077835083008
83,33.4,3.89318346977234
84,33.6,0.193956434726715
85,33.8,1.09662687778473
86,34.0,150.073699951172
87,34.1,432.566833496094
88,34.3,8.64450073242188
89,34.6,0.503162324428558
90,34.8,5.14318323135376
91,35.0,117.076774597168
92,35.1,160.982513427734
93,35.3,7.90100145339966
94,35.5,0.084065355360508
95,35.8,0.0874033719301224
96,36.0,254.918838500977
97,36.1,1495.47131347656
98,36.3,0.309996485710144
99,36.6,0.0500702746212482
100,36.8,1.2505270242691
101,37.0,86.2168807983398
102,37.1,2441.68579101563
103,37.3,11.3302879333496
104,37.5,0.426651448011398
105,37.8,0.1617182046175
106,38.0,99.2895278930664
107,38.1,4311.65283203125
108,38.3,3.65662336349487
109,39.0,14.0973291397095
110,39.1,18007.037109375
111,39.3,4.72760009765625
112,40.1,12410.3037109375
113,40.2,442.903472900391
114,41.0,2.60822200775146
115,41.2,19155.373046875
116,41.3,0.47461348772049
117,42.0,22.749210357666
118,42.1,26896.705078125
119,42.3,2.41083979606628
120,43.0,1.90433943271637
121,43.1,50815.5546875
122,43.3,1.26027762889862
123,44.0,4.98357343673706
124,44.1,55813.3671875
125,44.9,0.484891086816788
126,45.1,12841.87890625
127,45.2,2497.80981445313
128,45.7,0.0905657038092613
129,45.9,19.6712055206299
130,46.1,1063.50463867188
131,46.2,389.006225585938
132,46.4,1.28654253482819
133,46.6,0.139669716358185
134,46.9,11.3013877868652
135,47.1,8471.21484375
136,47.2,150.125610351563
137,47.5,0.280569225549698
138,47.7,0.453004211187363
139,47.9,36.823787689209
140,48.1,1217.22021484375
141,48.2,66.7663421630859
142,48.4,1.1247364282608
143,48.7,1.25377726554871
144,48.9,23.4169883728027
145,49.1,737.054809570313
146,49.2,147.266159057617
147,49.4,1.6239458322525
148,49.6,0.0580639503896236
149,49.8,1.03601551055908
150,50.0,116.164268493652
151,50.1,2884.12084960938
152,50.3,7.56746292114258
153,50.5,0.183854535222054
154,50.7,0.109627544879913
155,50.9,7.40925884246826
156,51.1,3180.09765625
157,51.2,532.368835449219
158,51.4,0.0831869319081306
159,51.5,0.126756846904755
160,51.8,1.08968722820282
161,52.0,87.2799530029297
162,52.1,1731.65173339844
163,52.2,552.017456054688
164,52.4,0.870168685913086
165,52.8,0.0914441347122192
166,53.0,69.3092041015625
167,53.1,7607.08203125
168,53.3,4.62016868591309
169,53.9,3.06368589401245
170,54.1,5484.25732421875
171,54.2,816.858642578125
172,54.4,0.376756846904755
173,55.0,10.4898977279663
174,55.1,28790.015625
175,55.3,0.420063257217407
176,56.0,49.7507019042969
