#"+ Scan (rt: 4.980-38.001 min, 5725 scans) DAMMAR121118_7.D "
#Point,X(Thompsons),Y(Counts)
0,45.1,1150.74633789063
1,45.3,32.0513534545898
2,45.6,1.62270736694336
3,45.8,6.13082981109619
4,46.0,35.4202613830566
5,46.1,30.4031448364258
6,46.2,42.210132598877
7,46.4,7.28157186508179
8,46.6,1.52227079868317
9,46.8,8.67301273345947
10,46.9,17.0684719085693
11,47.1,104.286636352539
12,47.2,43.3435821533203
13,47.3,17.0534496307373
14,47.6,2.76174664497375
15,47.7,1.66008734703064
16,47.9,11.4192142486572
17,48.1,17.0658512115479
18,48.3,12.7072486877441
19,48.4,4.74235820770264
20,48.6,1.84873366355896
21,48.8,6.91580772399902
22,49.0,35.5304794311523
23,49.1,26.9566802978516
24,49.2,38.447338104248
25,49.4,6.11982536315918
26,49.6,0.47179040312767
27,49.8,3.05746722221375
28,50.0,107.833190917969
29,50.1,802.953369140625
30,50.3,42.8193893432617
31,50.5,0.754585146903992
32,50.8,0.6389519572258
33,51.0,81.6885604858398
34,51.2,2075.720703125
35,51.3,36.4922256469727
36,51.5,0.166288211941719
37,51.6,0.264628827571869
38,51.9,14.7068996429443
39,52.1,462.308990478516
40,52.2,450.537811279297
41,52.4,6.00419235229492
42,52.6,0.184628814458847
43,52.8,0.134672492742538
44,53.0,32.8333625793457
45,53.2,3162.29736328125
46,53.3,37.427074432373
47,53.6,0.233362451195717
48,53.8,1.48069870471954
49,54.0,76.1837539672852
50,54.2,484.20751953125
51,54.3,81.7397384643555
52,54.4,10.215371131897
53,54.7,0.155283838510513
54,55.0,10.2424449920654
55,55.2,7160.830078125
56,55.3,60.6305694580078
57,55.9,6.81240177154541
58,56.1,342.747955322266
59,56.2,596.936767578125
60,56.4,11.0122270584106
61,56.5,2.39004373550415
62,56.8,1.57641923427582
63,57.0,51.4455909729004
64,57.2,1186.90832519531
65,57.3,192.255020141602
66,57.5,46.5179023742676
67,57.7,22.1519641876221
68,57.9,76.7220993041992
69,58.1,270.013610839844
70,58.2,229.649780273438
71,58.4,15.2183408737183
72,58.7,2.58393001556396
73,58.9,20.5535373687744
74,59.1,620.010681152344
75,59.2,631.389343261719
76,59.4,5.96000003814697
77,59.7,2.24314403533936
78,59.9,29.0244541168213
79,60.1,120.468994140625
80,60.2,96.256591796875
81,60.4,9.94620132446289
82,60.6,1.34497821331024
83,60.8,7.66899585723877
84,61.0,98.3448028564453
85,61.1,210.383056640625
86,61.3,33.0218353271484
87,61.6,2.07056760787964
88,61.8,6.99161577224731
89,62.0,105.00227355957
90,62.1,346.479827880859
91,62.3,36.5035820007324
92,62.5,2.68122267723083
93,62.8,3.4539737701416
94,63.0,122.231094360352
95,63.1,1328.83874511719
96,63.3,42.3103942871094
97,63.5,2.16768550872803
98,63.8,8.60331916809082
99,64.0,116.419738769531
100,64.2,383.408905029297
101,64.3,83.5778198242188
102,64.5,3.02515292167664
103,64.8,1.1196506023407
104,65.0,82.4253311157227
105,65.2,2565.67260742188
106,65.3,37.4717903137207
107,65.5,0.755982518196106
108,65.8,3.90008735656738
109,66.0,112.993713378906
110,66.2,607.75390625
111,66.3,89.3416595458984
112,66.5,0.721397399902344
113,66.8,0.354410469532013
114,67.0,22.3867244720459
115,67.2,5294.72021484375
116,67.3,69.0754547119141
117,67.6,0.145851522684097
118,67.8,0.73327511548996
119,68.0,78.2129287719727
120,68.2,999.885925292969
121,68.3,118.956855773926
122,68.5,1.31301307678223
123,68.8,0.247161567211151
124,69.0,29.7554588317871
125,69.2,5478.53857421875
126,69.3,150.783935546875
127,69.5,1.82864630222321
128,69.6,2.32838416099548
129,69.9,35.455020904541
130,70.1,301.760009765625
131,70.2,465.955291748047
132,70.4,34.8800010681152
133,70.5,38.7685585021973
134,70.8,33.5229682922363
135,71.0,134.231262207031
136,71.2,972.393371582031
137,71.3,109.001396179199
138,71.6,5.55650663375854
139,71.8,11.7360696792603
140,72.0,68.4288177490234
141,72.1,96.9676818847656
142,72.3,26.4827938079834
143,72.5,2.22742366790771
144,72.8,0.248908296227455
145,73.0,68.3055038452148
146,73.2,21524.583984375
147,73.3,30.7362442016602
148,73.5,0.0974672511219978
149,73.8,2.15441036224365
150,74.0,127.026725769043
151,74.2,2162.97583007813
152,74.3,37.7917900085449
153,74.5,0.476506561040878
154,74.7,0.602794766426086
155,74.9,15.1220960617065
156,75.1,1060.0830078125
157,75.2,609.283996582031
158,75.4,3.52087330818176
159,75.5,1.68541479110718
160,75.7,0.767510890960693
161,75.9,36.3596496582031
162,76.1,382.109161376953
163,76.2,308.382537841797
164,76.4,13.5615720748901
165,76.7,0.0462882108986378
166,77.0,53.9673347473145
167,77.1,6419.97216796875
168,77.3,15.3149347305298
169,77.5,0.0649781674146652
170,77.8,0.366113543510437
171,78.0,121.005065917969
172,78.2,2126.65795898438
173,78.3,69.2282943725586
174,78.6,0.135720521211624
175,79.0,27.1002616882324
176,79.2,7848.8955078125
177,79.3,22.4546718597412
178,79.5,0.0868122279644012
179,79.8,0.761397361755371
180,80.0,97.9544067382813
181,80.2,1510.53015136719
182,80.3,125.698516845703
183,80.5,1.19825327396393
184,80.8,0.235807865858078
185,81.0,36.6779022216797
186,81.2,6369.36181640625
187,81.3,110.763671875
188,81.6,0.256943225860596
189,81.8,3.48349356651306
190,81.9,16.2162437438965
191,82.1,573.604736328125
192,82.2,1106.4970703125
193,82.4,41.6267242431641
194,82.6,12.0085592269897
195,82.9,41.2396507263184
196,83.1,689.961730957031
197,83.2,1042.15454101563
198,83.4,8.97344970703125
199,83.5,2.27685594558716
200,83.7,1.79860258102417
201,83.9,30.6644535064697
202,84.0,59.1282081604004
203,84.2,223.161392211914
204,84.3,63.0001754760742
205,84.4,26.2560691833496
206,84.6,2.88803482055664
207,84.8,10.7827072143555
208,85.0,100.286987304688
209,85.2,495.649780273438
210,85.3,80.9552841186523
211,85.5,2.7820086479187
212,85.7,5.41781663894653
213,85.9,38.7063751220703
214,86.1,148.886810302734
215,86.2,106.436332702637
216,86.4,11.5900440216064
217,86.6,1.62934494018555
218,86.8,10.7544107437134
219,86.9,41.3512649536133
220,87.1,317.612579345703
221,87.2,197.089080810547
222,87.4,13.4773797988892
223,87.6,3.34340620040894
224,87.8,21.0193881988525
225,88.0,112.143928527832
226,88.2,162.540267944336
227,88.3,51.2457656860352
228,88.5,5.60192155838013
229,88.8,8.64087295532227
230,89.0,281.490478515625
231,89.1,543.316711425781
232,89.2,448.717193603516
233,89.4,8.79231452941895
234,89.6,6.90585136413574
235,89.8,21.8289947509766
236,90.0,99.4510040283203
237,90.1,68.6600875854492
238,90.2,82.4831466674805
239,90.4,2.31528377532959
240,90.6,0.103231437504292
241,91.0,25.7647171020508
242,91.2,12205.50390625
243,91.3,8.73379898071289
244,91.6,0.0176419205963612
245,91.8,0.310917019844055
246,92.0,111.847686767578
247,92.2,2247.03076171875
248,92.3,103.116508483887
249,92.5,0.849956333637238
250,92.7,0.21834060549736
