#"+ Scan (rt: 4.977-40.000 min, 11478 scans) FRANK_140726_2.D "
#Point,X(Thompsons),Y(Counts)
0,45.2,1670.78552246094
1,45.3,37.3639144897461
2,45.6,0.0438229665160179
3,45.8,2.04957318305969
4,46.0,58.2734794616699
5,46.1,123.126762390137
6,46.3,19.4214153289795
7,46.4,6.4634952545166
8,46.7,3.40616822242737
9,46.9,23.8371658325195
10,47.1,122.316429138184
11,47.2,79.7347106933594
12,47.4,5.12188529968262
13,47.7,3.74777841567993
14,47.9,17.9225482940674
15,48.1,45.0433006286621
16,48.2,25.1407032012939
17,48.4,4.17694711685181
18,48.7,2.36138701438904
19,48.9,16.6811294555664
20,49.1,78.0773620605469
21,49.2,55.8053665161133
22,49.4,4.58032751083374
23,49.7,0.687314867973328
24,49.9,6.94101762771606
25,50.1,415.364776611328
26,50.2,608.742370605469
27,50.4,3.68548536300659
28,50.6,0.0242202468216419
29,50.8,0.286112576723099
30,51.0,30.5932216644287
31,51.2,2084.849609375
32,51.3,48.5965309143066
33,51.5,0.0697856768965721
34,51.7,0.160219550132751
35,51.9,5.2938666343689
36,52.1,334.540252685547
37,52.2,793.612976074219
38,52.4,6.02117109298706
39,52.7,0.181738972663879
40,52.8,0.0293605159968138
41,53.0,10.2848930358887
42,53.2,4835.62939453125
43,53.3,75.1143035888672
44,53.5,0.0317999646067619
45,53.7,0.0746645778417587
46,53.9,0.699773490428925
47,54.1,287.536163330078
48,54.2,1932.35437011719
49,54.4,10.2686004638672
50,55.2,14148.892578125
51,55.3,123.420280456543
52,56.0,5.09478998184204
53,56.2,3238.04736328125
54,56.3,384.321228027344
55,56.5,0.0521867908537388
56,57.0,1.10358953475952
57,57.2,6286.9453125
58,57.3,347.219451904297
59,57.6,8.29961681365967
60,57.7,5.5974907875061
61,58.0,69.3672256469727
62,58.2,1089.14855957031
63,58.3,114.234619140625
64,58.5,2.11360859870911
65,58.8,1.05157697200775
66,59.0,56.4251594543457
67,59.2,1457.74291992188
68,59.3,84.1111679077148
69,59.5,0.194720327854156
70,59.6,0.24272520840168
71,59.8,0.242638096213341
72,60.0,50.9203681945801
73,60.2,3592.8974609375
74,60.3,23.7823657989502
75,60.5,0.138090252876282
76,60.8,1.26398324966431
77,61.0,89.4208908081055
78,61.2,1079.21472167969
79,61.3,29.7716503143311
80,61.5,0.419759541749954
81,61.7,0.712493479251862
82,61.9,16.5644702911377
83,62.1,269.25537109375
84,62.2,208.21711730957
85,62.4,5.77748727798462
86,62.6,0.237933441996574
87,62.8,1.24472904205322
88,63.0,63.6119537353516
89,63.2,1203.99401855469
90,63.3,47.3085899353027
91,63.5,0.568391680717468
92,63.7,1.24133121967316
93,63.9,25.1750297546387
94,64.1,349.182342529297
95,64.2,327.615783691406
96,64.4,12.3896150588989
97,64.7,0.655340671539307
98,64.8,0.357640713453293
99,65.0,27.3328971862793
100,65.2,2997.41625976563
101,65.3,51.286808013916
102,65.5,0.405732691287994
103,65.7,0.474385768175125
104,65.9,8.01559543609619
105,66.1,356.284820556641
106,66.2,849.344665527344
107,66.4,8.77888107299805
108,67.0,2.47395014762878
109,67.2,10208.0517578125
110,67.3,86.3577270507813
111,67.9,0.619533002376556
112,68.1,388.258331298828
113,68.2,5880.07958984375
114,68.4,2.60707449913025
