#"+ Scan (rt: 4.977-40.000 min, 11478 scans) LIGNIN_031125_4.D "
#Point,X(Thompsons),Y(Counts)
0,45.1,561.4033203125
1,45.3,7.87532663345337
2,45.4,1.05784976482391
3,45.6,0.842481255531311
4,45.8,10.8949298858643
5,46.0,70.1863555908203
6,46.1,75.7452545166016
7,46.2,43.5517501831055
8,46.4,3.27034330368042
9,46.7,3.79534769058228
10,46.9,34.3488426208496
11,47.1,160.49494934082
12,47.2,69.0521850585938
13,47.4,5.97342729568481
14,47.7,6.02883768081665
15,47.9,32.595401763916
16,48.1,102.274871826172
17,48.2,28.9837074279785
18,48.4,2.18025779724121
19,48.6,0.945286631584167
20,48.8,6.70038318634033
21,48.9,11.5102806091309
22,49.1,94.4492950439453
23,49.2,102.514030456543
24,49.4,2.44075632095337
25,49.6,0.538769841194153
26,49.8,5.75701332092285
27,50.0,91.942756652832
28,50.1,618.373779296875
29,50.2,693.898498535156
30,50.4,1.70186448097229
31,50.5,0.954870164394379
32,50.8,3.53955388069153
33,51.0,88.6171798706055
34,51.2,2469.16528320313
35,51.3,12.7887258529663
36,51.5,0.565778017044067
37,51.7,1.80658650398254
38,51.9,19.7856769561768
39,52.1,443.405914306641
40,52.2,1106.95349121094
41,52.4,2.75631642341614
42,52.7,1.45765817165375
43,52.9,15.675989151001
44,53.1,940.583312988281
45,53.2,1568.71472167969
46,53.4,1.89170587062836
47,53.7,1.43300223350525
48,53.9,20.2653770446777
49,54.1,303.888061523438
50,54.2,295.785064697266
51,54.4,3.36548185348511
52,54.7,0.792908191680908
53,54.8,1.99939012527466
54,55.0,95.9582672119141
55,55.1,1586.568359375
56,55.3,15.8227910995483
57,55.5,0.359993040561676
58,55.7,1.08956265449524
59,55.9,19.6771221160889
60,56.1,199.789596557617
61,56.2,101.966979980469
62,56.3,21.3884830474854
63,56.5,1.13931000232697
64,56.7,1.80667364597321
65,56.9,20.3683567047119
66,57.1,257.914794921875
67,57.2,204.16780090332
68,57.4,27.7435970306396
69,57.6,10.3970203399658
70,57.8,26.967155456543
71,58.0,84.3496246337891
72,58.1,129.927169799805
73,58.3,19.6520290374756
74,58.6,4.37933444976807
75,58.8,10.3258409500122
76,59.0,108.151420593262
77,59.2,290.268676757813
78,59.3,18.2603244781494
79,59.6,2.13103318214417
80,59.8,9.78933620452881
81,60.0,95.2669448852539
82,60.1,215.265640258789
83,60.3,12.2706050872803
84,60.4,4.19027709960938
85,60.7,3.1828715801239
86,60.9,35.8538932800293
87,61.1,360.161956787109
88,61.2,132.713973999023
89,61.4,2.47386312484741
90,61.6,1.76415753364563
91,61.8,7.340651512146
92,62.0,98.1298141479492
93,62.1,457.962005615234
94,62.2,256.414611816406
95,62.4,3.16474986076355
96,62.7,2.28733229637146
97,62.8,3.86347794532776
98,63.0,105.91357421875
99,63.1,1878.58581542969
100,63.3,16.4238548278809
101,63.6,2.41871404647827
102,63.7,2.73026657104492
103,63.9,43.8279304504395
