#"+ Scan (rt: 4.977-39.999 min, 11478 scans) MYRRH_160726_3.D "
#Point,X(Thompsons),Y(Counts)
0,45.2,4028.98193359375
1,45.3,19.0810241699219
2,45.7,0.237410694360733
3,45.9,13.0943546295166
4,46.1,225.014465332031
5,46.2,219.001739501953
6,46.4,6.10768413543701
7,46.6,7.09661960601807
8,46.8,7.77313137054443
9,46.9,18.6538600921631
10,47.1,259.855102539063
11,47.2,328.922973632813
12,47.4,5.10751008987427
13,47.7,3.91017603874207
14,47.9,21.7939529418945
15,48.1,63.1609153747559
16,48.2,40.2993545532227
17,48.4,5.34317827224731
18,48.7,3.29543471336365
19,48.9,13.2709531784058
20,49.1,143.200210571289
21,49.2,144.990676879883
22,49.3,37.4586181640625
23,49.5,0.74150550365448
24,49.8,1.03911828994751
25,50.0,44.2924728393555
26,50.2,1606.87780761719
27,50.3,44.4952087402344
28,50.6,0.429604470729828
29,50.8,0.462885528802872
30,51.0,27.7740020751953
31,51.2,2730.98974609375
32,51.3,50.0016555786133
33,51.6,0.276616126298904
34,51.8,0.708572924137115
35,52.0,31.6306838989258
36,52.2,2004.4140625
37,52.3,92.396842956543
38,52.5,0.767468214035034
39,52.8,0.266074240207672
40,53.0,19.7214679718018
41,53.2,3876.79028320313
42,53.3,56.2807121276855
43,53.5,0.160655170679092
44,53.7,0.349625378847122
45,53.8,0.317041307687759
46,54.0,22.7408084869385
47,54.2,3236.779296875
48,54.3,93.771125793457
49,54.5,0.407388061285019
50,54.8,0.0395539291203022
51,55.0,6.5723991394043
52,55.2,6781.4775390625
53,55.3,59.5253524780273
54,55.6,0.046088170260191
55,55.8,0.277661621570587
56,56.0,16.0342388153076
57,56.2,3495.037109375
58,56.3,122.983360290527
59,56.5,0.300313651561737
60,56.6,0.0715281441807747
61,56.9,1.07117962837219
62,57.1,305.597045898438
63,57.2,5652.37109375
64,57.4,2.9527792930603
65,57.7,0.606813013553619
66,57.9,9.44345664978027
67,58.1,395.707977294922
68,58.2,1525.84765625
69,58.4,13.4418020248413
70,58.7,51.8651351928711
71,58.8,1.70186448097229
72,59.0,64.4381408691406
73,59.2,1911.09875488281
74,59.3,59.396671295166
75,59.5,0.398414343595505
76,59.8,1.29918098449707
77,60.0,55.2199859619141
78,60.2,3339.48046875
79,60.3,28.6437530517578
80,60.6,0.741592586040497
81,60.8,1.50540161132813
82,61.0,86.2951736450195
83,61.2,972.298889160156
84,61.3,26.162223815918
85,61.5,0.38630422949791
86,61.7,1.17738282680511
87,61.8,1.86190974712372
88,62.0,73.4668045043945
89,62.2,649.004638671875
90,62.3,36.2073516845703
91,62.5,0.874542593955994
92,62.7,0.237497821450233
93,62.9,7.44241142272949
94,63.1,633.164123535156
95,63.2,1066.65026855469
96,63.4,2.48475337028503
97,63.6,0.336731135845184
98,63.8,3.24594879150391
99,64.0,82.7689514160156
100,64.2,939.0966796875
101,64.3,69.0362396240234
102,64.5,1.53476214408875
103,64.7,0.346227556467056
104,64.9,5.20020914077759
105,65.1,589.459899902344
106,65.2,1998.36682128906
107,65.4,2.41148281097412
108,65.7,1.13146889209747
109,65.9,9.17520427703857
110,66.1,537.278442382813
111,66.2,1626.53845214844
112,66.4,3.60036587715149
113,66.6,0.338647842407227
114,66.8,0.372016042470932
115,67.0,23.1842651367188
116,67.2,3308.19750976563
117,67.3,67.4574813842773
118,67.5,0.181390479207039
119,67.8,0.410698741674423
120,68.0,28.1131725311279
121,68.2,3699.81591796875
122,68.3,64.0443420410156
123,68.5,0.538682699203491
124,68.7,0.363129466772079
125,69.0,19.9095668792725
126,69.2,6188.34228515625
127,69.3,37.9190635681152
128,69.6,0.313730627298355
129,69.8,1.04382300376892
130,70.0,26.161003112793
131,70.2,3878.77612304688
132,70.3,73.5384216308594
133,70.5,1.51420104503632
134,70.8,1.44302141666412
135,71.0,43.1097755432129
136,71.2,3282.27294921875
137,71.3,53.5500946044922
138,71.6,1.65220427513123
139,71.8,3.71092534065247
140,72.0,55.3108558654785
141,72.2,1181.62719726563
142,72.3,74.7619781494141
143,72.4,6.45539283752441
144,72.9,0.299529522657394
145,73.1,1084.42529296875
146,73.2,5120.80712890625
147,73.4,0.0395539291203022
148,73.8,0.208311557769775
149,74.0,90.6816482543945
150,74.2,1374.69555664063
151,74.3,47.9053840637207
152,74.6,0.18931870162487
153,74.9,2.65690875053406
154,75.1,952.883422851563
155,75.2,865.528381347656
156,75.4,0.504181921482086
157,75.7,0.439710736274719
158,75.9,18.0039196014404
159,76.1,457.290802001953
160,76.2,435.202301025391
161,76.4,8.2673807144165
162,76.6,0.223035365343094
163,76.8,0.0534065179526806
164,77.0,32.6803436279297
165,77.2,3710.33032226563
166,77.3,20.2305278778076
167,77.5,0.0639484226703644
168,77.7,0.0763199180364609
169,77.9,3.36190962791443
170,78.1,741.887512207031
171,78.2,1435.85913085938
172,78.4,2.57640695571899
173,78.9,0.908782005310059
174,79.1,952.684204101563
175,79.2,2163.50512695313
