#"+ Scan (rt: 0.088-39.997 min, 6919 scans) PB400.D "
#Point,X(Thompsons),Y(Counts)
0,45.1,7328.759765625
1,45.2,543.505981445313
2,45.4,2.44254946708679
3,45.5,4.17271280288696
4,45.8,18.4749240875244
5,46.0,253.987854003906
6,46.1,955.293823242188
7,46.2,134.591262817383
8,46.4,8.43069839477539
9,46.7,4.73970222473145
10,46.9,42.3192672729492
11,47.1,689.604858398438
12,47.2,148.815292358398
13,47.3,70.3989028930664
14,47.5,10.6513948440552
15,47.8,33.1511764526367
16,48.0,276.723236083984
17,48.1,434.012420654297
18,48.3,7.18456411361694
19,48.4,2.450932264328
20,48.7,1.16187310218811
21,48.9,15.2932500839233
22,49.1,1579.41918945313
23,49.2,256.971801757813
24,49.4,2.39528822898865
25,49.6,0.174736231565475
26,49.8,0.961844205856323
27,50.0,66.9459457397461
28,50.1,12549.95703125
29,50.3,5.68116760253906
30,50.5,0.0997253954410553
31,50.7,0.0774678438901901
32,50.9,3.24483299255371
33,51.1,20390.94140625
34,51.2,1100.1513671875
35,51.4,0.387628257274628
36,51.7,0.388639986515045
37,51.9,6.44775247573853
38,52.0,49.1293525695801
39,52.1,10027.2216796875
40,52.3,10.6337623596191
41,52.5,0.157826274633408
42,52.7,0.0767451971769333
43,52.9,3.77612376213074
44,53.1,13746.8271484375
45,53.2,1521.55053710938
46,53.4,0.3283711373806
47,53.6,0.0443705730140209
48,53.8,0.610926449298859
49,53.9,3.46076011657715
50,54.1,4836.85107421875
51,54.2,2042.29602050781
52,54.3,12.0404682159424
53,54.5,0.270848393440247
54,54.8,0.446596324443817
55,55.0,12.7109413146973
56,55.1,15226.0400390625
57,55.2,6076.4462890625
58,55.4,0.332562506198883
59,55.5,0.0508744046092033
60,55.8,0.494146555662155
61,56.0,37.9794769287109
62,56.2,7488.0693359375
63,56.3,17.9872817993164
64,56.5,0.343691289424896
65,56.8,0.449631452560425
66,57.0,19.5505123138428
67,57.2,9788.6396484375
68,57.3,330.353240966797
69,57.6,182.349182128906
70,57.7,115.332565307617
71,57.9,268.368682861328
72,58.1,2432.85791015625
73,58.2,585.223999023438
74,58.4,5.92224311828613
75,58.6,4.01878881454468
76,58.9,23.1276187896729
77,59.1,1347.81872558594
78,59.2,395.735809326172
79,59.4,0.830322325229645
80,59.7,0.46726405620575
81,59.8,0.954473197460175
82,60.0,192.551666259766
83,60.1,7135.17431640625
84,60.3,7.83263492584229
85,60.5,2.42983078956604
86,60.7,0.19020089507103
87,60.9,12.1189479827881
88,61.1,3361.86206054688
89,61.2,324.220275878906
90,61.3,15.0806474685669
91,61.5,0.253215789794922
92,61.7,0.338343679904938
93,61.9,10.1469869613647
94,62.1,6941.595703125
95,62.2,287.192810058594
96,62.4,1.07327651977539
97,62.7,0.149154499173164
98,62.9,4.63853168487549
99,63.1,18126.955078125
100,63.2,603.741882324219
101,63.4,0.377222150564194
102,63.7,0.681023240089417
103,63.9,17.9433441162109
104,64.1,12040.0302734375
105,64.2,483.759796142578
106,64.4,0.811388909816742
107,64.7,0.422893494367599
108,64.9,5.13542413711548
109,65.1,17843.634765625
110,65.2,1442.78454589844
111,65.4,1.14727556705475
