#"+ Scan (rt: 0.088-39.997 min, 6919 scans) PB700_2.D "
#Point,X(Thompsons),Y(Counts)
0,45.1,722.387634277344
1,45.2,114.643882751465
2,45.4,0.521029055118561
3,45.5,0.827865302562714
4,45.7,0.862263321876526
5,45.9,15.7628269195557
6,46.1,199.466979980469
7,46.2,45.7194671630859
8,46.4,1.755166888237
9,46.6,1.51264631748199
10,46.8,6.07212018966675
11,47.0,43.4227485656738
12,47.1,52.1988716125488
13,47.3,8.04364776611328
14,47.5,0.630582451820374
15,47.7,2.11085414886475
16,47.9,16.1494426727295
17,48.1,247.822662353516
18,48.2,20.6594886779785
19,48.4,1.54848968982697
20,48.6,1.38025724887848
21,48.8,4.9580864906311
22,49.0,18.2644882202148
23,49.1,12.3202772140503
24,49.2,13.3124732971191
25,49.4,1.66339063644409
26,49.5,1.47232258319855
27,49.7,1.26954758167267
28,49.9,23.7542991638184
29,50.1,133.345565795898
30,50.2,41.8148574829102
31,50.3,15.2417984008789
32,50.5,1.33877730369568
33,50.7,1.25885248184204
34,50.9,23.1162014007568
35,51.1,131.923980712891
36,51.2,76.6774063110352
37,51.4,3.57320427894592
38,51.7,2.22575521469116
39,51.9,18.0848388671875
40,52.1,78.6317367553711
41,52.2,49.3478813171387
42,52.4,4.52001714706421
43,52.7,2.30322289466858
44,52.9,20.5041198730469
45,53.1,86.5536956787109
46,53.2,42.8546028137207
47,53.3,22.5155372619629
48,53.5,0.848966598510742
49,53.7,1.61887550354004
50,53.8,3.36594891548157
51,54.0,42.6860809326172
52,54.1,68.1604309082031
53,54.3,19.0319404602051
54,54.5,1.43170976638794
55,54.7,0.203786671161652
56,54.9,11.0518865585327
57,55.1,268.161163330078
58,55.2,175.421737670898
59,55.4,2.65760946273804
60,55.7,0.706749558448792
61,55.9,13.2465677261353
62,56.1,133.495742797852
63,56.2,97.9018630981445
64,56.4,4.77771377563477
65,56.5,1.29122710227966
66,56.8,2.44587373733521
67,57.0,63.0164756774902
68,57.2,255.022262573242
69,57.3,44.2337036132813
70,57.5,3.04957365989685
71,57.7,1.65760946273804
