#"+ Scan (rt: 0.088-70.002 min, 12009 scans) RMP1_666-48M_650_WHOLE.D "
#Point,X(Thompsons),Y(Counts)
0,40.1,13750.00390625
1,40.3,2.37963199615479
2,41.2,106756.0390625
3,42.0,2.5751519203186
4,42.2,31428.88671875
5,42.3,7.16479301452637
6,43.2,97451.6171875
7,43.3,68.808723449707
8,44.0,10.6505117416382
9,44.1,24045.736328125
10,44.3,0.4202681183815
11,45.0,74.7145462036133
12,45.1,3729.8759765625
13,45.3,1.78607714176178
14,45.5,0.486551761627197
15,45.7,0.580731093883514
16,45.9,36.132568359375
17,46.1,460.136138916016
18,46.2,116.719207763672
19,46.4,7.06620025634766
20,46.7,1.84669828414917
21,46.9,29.6729946136475
22,47.1,755.607482910156
23,47.2,123.189605712891
24,47.4,0.778499484062195
25,47.7,1.52602219581604
26,47.9,33.1278190612793
27,48.1,1417.578125
28,48.2,64.4821395874023
29,48.4,1.70588719844818
30,48.7,0.639770150184631
31,48.9,13.9807643890381
32,49.1,1266.78137207031
33,49.2,367.651763916016
34,49.4,1.37238740921021
35,49.6,0.0635356828570366
36,49.9,2.6902322769165
37,50.1,7604.537109375
38,50.2,1633.16015625
39,50.4,0.153884589672089
40,50.9,0.746190369129181
41,51.1,14109.2978515625
42,51.2,3882.74194335938
43,51.5,0.03214256092906
44,51.9,2.5837287902832
45,52.1,4479.66015625
46,52.2,3271.02465820313
47,52.4,0.821550488471985
48,52.7,0.0283953696489334
49,52.9,0.404446661472321
50,53.1,9263.876953125
51,53.2,14937.0029296875
52,53.4,0.0579565316438675
53,54.0,8.5568323135376
54,54.2,19871.94921875
55,54.3,16.3076858520508
56,55.0,0.341660410165787
57,55.2,113688.9375
58,56.0,1.02123403549194
59,56.2,55162.4453125
60,56.3,3.29769349098206
61,57.2,92563.5234375
62,57.3,170.025650024414
63,57.6,93.4639053344727
64,57.7,7.58031463623047
65,57.9,57.8413696289063
66,58.1,3935.9951171875
67,58.2,5419.4501953125
68,58.5,0.764676511287689
69,58.7,0.785660743713379
70,58.9,17.0638694763184
71,59.1,2094.37524414063
72,59.2,878.369079589844
73,59.4,0.438088089227676
74,59.7,0.252477318048477
75,59.9,11.3339996337891
76,60.1,2879.228515625
77,60.2,324.325744628906
78,60.4,0.751186609268188
79,60.6,2.28778409957886
80,60.8,4.23290872573853
81,61.0,148.051620483398
82,61.1,1957.78198242188
83,61.3,13.8075609207153
84,61.5,0.339245557785034
85,61.7,0.429261386394501
86,61.9,7.00582885742188
87,62.1,4015.30224609375
88,62.2,650.643188476563
89,62.4,0.882421493530273
90,62.7,0.0365559160709381
91,62.9,2.31576323509216
92,63.1,11315.2626953125
93,63.2,1863.80615234375
94,63.4,0.188025653362274
95,63.6,0.0979265570640564
96,63.9,13.461820602417
97,64.1,6193.5849609375
98,64.2,1214.55505371094
99,64.4,0.316179543733597
100,64.6,0.102423183619976
101,64.9,0.671413123607635
102,65.1,16166.2109375
103,65.2,4944.58642578125
104,65.4,0.0445499196648598
105,65.6,0.0355566665530205
106,65.9,2.11466407775879
107,66.1,6436.09716796875
108,66.2,4484.97412109375
109,66.4,0.158214673399925
110,66.9,0.0491298176348209
111,67.1,25347.896484375
112,67.2,43692.6875
113,67.7,0.0303106009960175
114,68.0,6.28553581237793
115,68.2,29873.875
116,68.3,5.04330062866211
117,68.9,0.155799821019173
118,69.1,1799.55700683594
119,69.2,73776.25
120,69.4,5.68365383148193
121,69.9,2.19835114479065
122,70.1,1623.44543457031
123,70.2,42892.19140625
124,70.4,14.3775501251221
125,70.5,9.60404682159424
126,70.8,4.2135066986084
127,71.0,15.6893167495728
128,71.2,57179.87890625
129,71.3,3.47572660446167
130,71.8,0.0751936063170433
131,72.0,83.1558837890625
132,72.1,1842.70495605469
133,72.2,3747.34155273438
134,72.4,0.476392716169357
135,72.7,0.0274793896824121
136,73.0,67.3106842041016
137,73.1,6180.54736328125
138,73.3,1.62020146846771
139,73.9,2.16454315185547
140,74.1,4658.85546875
141,74.2,523.899169921875
142,74.4,0.078274630010128
143,74.6,0.066033810377121
144,75.0,86.3457412719727
145,75.1,5610.904296875
146,75.3,3.88616871833801
147,75.5,0.090015821158886
148,75.7,0.153218418359756
149,75.9,8.4774751663208
150,76.1,6484.15234375
151,76.2,1856.98522949219
152,76.4,0.653343319892883
153,76.8,0.0923474058508873
154,77.0,21.7057209014893
155,77.1,43684.4140625
156,77.3,0.474144399166107
157,77.9,0.927554309368134
158,78.1,13388.46484375
159,78.2,4341.40869140625
160,78.4,0.0708635225892067
161,79.0,19.2017650604248
162,79.1,51704.9921875
163,79.8,0.0511283203959465
164,80.0,21.1314010620117
