#"+ Scan (rt: 0.088-39.997 min, 6919 scans) SHEW_1.D "
#Point,X(Thompsons),Y(Counts)
0,45.1,41508.359375
1,45.3,0.4416823387146
2,45.5,0.0602688267827034
3,45.7,0.209856912493706
4,45.8,3.05405402183533
5,46.0,121.821220397949
6,46.1,12185.5576171875
7,46.2,124.858795166016
8,46.4,0.841451048851013
9,46.6,0.0677843615412712
10,46.8,3.08642864227295
11,47.0,285.872955322266
12,47.1,3758.5400390625
13,47.3,2.35120677947998
14,47.6,0.438502669334412
15,47.8,10.687237739563
16,48.0,224.875564575195
17,48.1,1883.22412109375
18,48.2,84.4769439697266
19,48.4,2.09437775611877
20,48.7,0.705448746681213
21,48.9,19.726261138916
22,49.1,2009.70788574219
23,49.2,145.791015625
24,49.4,0.837982356548309
25,49.5,0.475502252578735
26,49.8,0.646625220775604
27,50.0,83.8692016601563
28,50.1,8208.0390625
29,50.3,2.62292242050171
30,50.6,0.0539095252752304
31,50.8,0.118369705975056
32,51.0,58.0698089599609
33,51.1,12106.3955078125
34,51.3,1.46047115325928
35,51.6,0.232692584395409
36,51.8,0.439514368772507
37,52.0,55.1922225952148
38,52.1,10352.1748046875
39,52.3,1.90562224388123
40,52.5,0.0690851286053658
41,52.9,1.29744184017181
42,53.1,21963.05078125
43,53.2,675.505737304688
44,53.4,0.12198294699192
45,53.5,0.0394565686583519
46,53.7,0.0533314049243927
47,53.9,1.03454256057739
48,54.1,17173.44140625
49,54.2,883.546325683594
50,54.4,0.190056368708611
51,54.6,0.0130076603963971
52,54.8,0.0677843615412712
53,55.0,10.1568145751953
54,55.1,37171.6484375
55,55.3,1.67712092399597
56,55.7,0.0861396118998528
57,55.8,0.0160427801311016
58,56.0,20.3976001739502
59,56.1,13938.244140625
60,56.2,1570.46008300781
61,56.5,0.0910536199808121
62,56.7,0.139615550637245
63,56.9,1.07876861095428
64,57.1,19827.994140625
65,57.2,4897.498046875
66,57.4,0.539384305477142
67,57.7,0.131088301539421
68,57.9,5.82526397705078
69,58.1,10561.7607421875
70,58.2,3981.37036132813
71,58.5,13.6406993865967
72,58.6,168.7431640625
73,58.8,0.277930349111557
74,59.0,131.958374023438
75,59.1,8222.51953125
76,59.3,3.20985698699951
77,59.4,0.245989307761192
78,59.7,0.145396739244461
79,59.9,2.95721936225891
80,60.1,25157.60546875
81,60.2,142.40641784668
82,60.4,0.126029774546623
83,60.7,0.166064456105232
